M_ac_e,M_ca2_e,M_cd2_e,M_cit_e,M_cl_e,M_co2_e,M_cobalt2_e,M_cu2_e,M_fe2_e,M_fe3_e,M_for_e,M_fum_e,M_gln__45__L_e,M_gly_e,M_h2_e,M_h2o_e,M_h2s_e,M_h_e,M_ile__45__L_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_lys__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_n2_e,M_na1_e,M_nh4_e,M_ni2_e,M_oxa_e,M_pi_e,M_pro__45__L_e,M_s_e,M_so4_e,M_ss_e,M_succ_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,-4.909754055694446e-07,0.0,0.0,0.0,0.01603480049514801,0.0,0.0,0.2808970097200418,-0.2808970097200418,0.015057784877654686,0.0,0.0,0.0,-0.1333591942576645,0.0,0.0,0.267588902542191,0.0,-0.00011587023538803022,0.0,0.0,0.0,-1.669316953159867e-05,0.0,0.0,-0.0022124573161008917,0.0,0.0,0.0,0.0,-0.000928127175208179,0.0008809042312432204,0.0,-8.725257039007199e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005220215959450868,0.0014014811180455568
0.0,-5.222222361740826e-07,0.0,0.0,0.0,0.019822351818762313,0.0,0.0,0.2821716034343487,-0.2821716034343487,0.013249038881523926,0.0,0.0,0.0,-0.1307782518263582,0.0,0.0,0.265249478114444,0.0,-0.0001232444899356487,0.0,0.0,0.0,-1.775556213760588e-05,0.0,0.0,-0.002353263307993735,0.0,0.0,0.0,0.0,-0.0009871953735218094,0.0009369670502364469,0.0,-9.280552936901663e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005552442791903715,0.001490674675593266
0.0,-5.122123578026509e-07,0.0,0.0,0.0,0.01672837962013391,0.0,0.0,0.2804260667564478,-0.2804260667564478,0.01589290504903227,0.0,0.0,0.0,-0.13364418403813808,0.0,0.0,0.2667261240047344,0.0,-0.00012088215783113501,0.0,0.0007352059238243884,0.0,-1.7415226155905965e-05,0.0,0.0,-0.0022162555654440287,0.0,0.0,0.0,0.0,-0.0009682729590145512,0.0,0.0,-9.102664674619682e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005446014391959519,0.0014621016444956632
0.0,-5.463146670063749e-07,0.0,0.0,0.0,0.020736844934998937,0.0,0.0,0.28172810848244023,-0.28172810848244023,0.014056314581511752,0.0,0.0,0.0,-0.13096314545133095,0.0,0.0,0.26422132907420554,0.0,-0.0001289303055588769,0.0,0.0007841548009077655,0.0,-1.8574705067678543e-05,0.0,0.0,-0.0023638104446185096,0.0,0.0,0.0,0.0,-0.0010327390800264952,0.0,0.0,-9.70870605683736e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000580860163510856,0.0015594461181467167
0.0,-4.975794241930564e-07,0.0,0.0,0.0,0.016964684094281302,0.0,0.0,0.28098525682921427,-0.28098525682921427,0.014724672468207871,0.0,0.0,0.0,-0.13339723612832616,0.0,0.0,0.266962492917527,0.0007142024878298825,-0.00011742878431684537,0.0,0.0,0.0,-1.691770624203924e-05,0.0,0.0,-0.0021529413559037507,0.0,0.0,0.0,0.0,-0.0009406112407654875,0.0,0.0,-8.842618844359899e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005290432110859725,0.0014203321792173045
0.0,-5.296999952342253e-07,0.0,0.0,0.0,0.020866497178287407,0.0,0.0,0.2822837982681165,-0.2822837982681165,0.01286852321036399,0.0,0.0,0.0,-0.13078179263328132,0.0,0.0,0.2645491329762194,0.0007603068696284726,-0.0001250092416780884,0.0,0.0,0.0,-1.8009806033107392e-05,0.0,0.0,-0.0022919215918367902,0.0,0.0,0.0,0.0,-0.0010013311353433778,0.0,0.0,-9.41344222042868e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005631948846064231,0.0015120198142890206
0.0,-4.109869482538178e-07,0.0,0.0,0.0,0.019024500289730115,0.0,0.0,0.281471145270538,-0.281471145270538,0.0,0.0,0.0,0.0,-0.14184092849021676,0.011204096958610443,0.0,0.25772655179773835,0.0,-9.699295299801412e-05,0.0,0.0,0.0,-1.3973561047356705e-05,0.0,0.0,-0.0025522654888406994,0.0,0.0,0.0,0.0,-0.0007769190696789252,0.0,0.0,-7.303760478659056e-05,0.0,0.0,0.0,0.002137901686789693,0.0,0.0,0.00043697517269979255,0.0011731553988388582
0.0,-4.4782861940535924e-07,0.0,0.0,0.0,0.02204815753825544,0.0,0.0,0.2824467105341714,-0.2824467105341714,0.0,0.0,0.0,0.0,-0.13886848468526308,0.010099231714459285,0.0,0.2565736054186816,0.0,-0.00010568759036679719,0.0,0.0,0.0,-1.5226178297393483e-05,0.0,0.0,-0.0026492291462915795,0.0,0.0,0.0,0.0,-0.0008465636094826454,0.0,0.0,-7.958483804710281e-05,0.0,0.0,0.0,0.002065894569398815,0.0,0.0,0.0004761464789478231,0.0012783193355461236
0.0,-3.494558400168687e-07,0.0,5.9888318052871854e-05,0.0,0.020189545854535675,0.0,0.0,0.2872071883102618,-0.2872071883102618,0.0,0.0,0.0,0.0023582429408230006,-0.13115391564517923,0.0,0.0,0.2671971930011174,0.0,-8.247160648202612e-05,0.0,0.0,0.0,-1.1881502647659012e-05,0.0,0.0,-0.0024403609517039313,0.0,0.0,0.0,0.0,-0.0006606022582305956,0.0,0.0,-6.210274472695736e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003715532249652256,0.0009975158751717112
0.0,-3.8075554409837527e-07,0.0,0.0010930377890568527,0.0,0.0,0.0,0.0,0.27623896088234196,-0.27623896088234196,0.020970077040261804,0.0,0.0,0.0,-0.14321228159649418,0.0,0.0,0.27849016413825267,0.0,-8.985833917445807e-05,0.0,0.0,0.0,-1.2945692952498134e-05,0.0,0.0,-0.0013742048921393647,0.0,0.0,0.0,0.0,-0.0007197704071938366,0.0,0.0,-6.766509999481974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004048321250728318,0.0010868603591785387
