M_ac_e,M_ca2_e,M_cd2_e,M_cit_e,M_cl_e,M_co2_e,M_cobalt2_e,M_cu2_e,M_fe2_e,M_fe3_e,M_for_e,M_fum_e,M_gln__45__L_e,M_gly_e,M_h2_e,M_h2o_e,M_h2s_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_n2_e,M_na1_e,M_nh4_e,M_ni2_e,M_oxa_e,M_pi_e,M_pro__45__L_e,M_s_e,M_so4_e,M_ss_e,M_succ_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,-3.539006132176549e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.283823593635326,-0.283823593635326,0.004263831015424773,0.0,0.0,0.0,-0.1324341314604531,0.0,0.0,0.28557736971332515,0.0,-8.352057331657495e-05,0.0,0.0,0.006141124219084861,-1.2032624988469902e-05,0.0,0.0,-0.0012772813463989105,0.0,0.0,0.0,0.0,-0.0006690045422319747,0.0,0.0,-6.289263742253893e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00037627905761095104,0.0014549916384773603
0.0,-3.776281173642267e-07,0.0,0.0,0.0,0.002234855706224216,0.0,0.0,0.2849738913194414,-0.2849738913194414,0.002314846721456493,0.0,0.0,0.0,-0.13013898816112926,0.0,0.0,0.28461039478547706,0.0,-8.91202662124849e-05,0.0,0.0,0.006552860014194467,-1.2839360406960042e-05,0.0,0.0,-0.0013629175315625112,0.0,0.0,0.0,0.0,-0.000713858400792886,0.0,0.0,-6.710931651123647e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00040150693958198615,0.0015525425294501498
0.0,-3.8980855454444527e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.27203594640473355,-0.27203594640473355,0.03175334657730771,0.0,0.0,0.0,-0.1120502256857159,-0.020292669741550477,0.0,0.28749611297085703,0.0,-9.199485037126598e-05,0.0,0.0,0.0,-1.3253495413544638e-05,0.0,0.0,-0.0014068785890464907,0.0,0.0,0.0,0.0,-0.0007368839833875277,0.0,0.0,-6.927393502449223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004144575908447554,0.0016026199624590526
0.0,-5.35550575066035e-07,0.0,0.0,0.0,0.012462700713167005,0.0,0.0,0.27404341819735756,-0.27404341819735756,0.031162619515174267,0.0,0.0,0.0,-0.09163017494679775,-0.027879713831352983,0.0,0.2828211469169933,0.0,-0.00012638997899115604,0.0,0.0,0.0,-1.8208725815814788e-05,0.0,0.0,-0.0019328837928979633,0.0,0.0,0.0,0.0,-0.0010123909197460802,0.0,0.0,-9.517414460750095e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005694154182347077,0.002201809150931276
0.0,-3.8114384640652125e-07,0.0,0.0,0.0,0.018726418515127432,0.0,0.0,0.28867330858280177,-0.28867330858280177,0.0,0.0,0.0,0.0,-0.12312113494202531,-0.00012782421125881148,0.0,0.27274229519877263,0.0,-8.994997855055758e-05,0.0,0.0,0.0,-1.2958895235516515e-05,0.0,0.0,-0.002607717446842442,0.0,0.0,0.0,0.0,-0.0007205044438080909,0.0,0.0,-6.773410625071322e-05,0.0,0.0,0.0,0.002464222224774511,0.0,0.0,0.00040524498117174864,0.0015669967467321767
0.0,-2.950006176297089e-07,0.0,0.0,0.0,0.01544765479649874,0.0,0.0,0.2882770009873091,-0.2882770009873091,0.0,0.0,0.0,0.0,-0.1262874931003513,-0.0010525731011911826,0.0,0.2745161357761319,0.0,-6.96201695983607e-05,0.0,0.0014304581166777923,0.0,-1.0030024449610675e-05,0.0,0.0,-0.002495160386189959,0.0,0.0,0.0,0.0,-0.000557661517907954,0.0,0.0,-5.242535952487793e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00031365459750725804,0.0012128360787352001
0.0,-2.3258540672357118e-07,0.0,0.0,0.0,0.013532661474703264,0.0,0.0,0.28683254516217643,-0.28683254516217643,0.0,0.0,0.0,0.0027067361597417783,-0.1223497178778618,-0.006694468335799016,0.0,0.27711096297640225,0.0,-5.489017478100359e-05,0.0,0.0,0.0,-7.907906548820482e-06,0.0,0.0,-0.0021928043237123595,0.0,0.0,0.0,0.0,-0.0004396734216994512,0.0,0.0,-4.133338318304324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00024729264202258004,0.0009562284137849861
0.0,-5.711474781641994e-07,0.0,0.0,0.0,0.04652500210545097,0.0,0.0,0.2922584990065944,-0.2922584990065944,0.0,0.0,0.0,0.0,-0.06448670471741594,-0.029732818874769022,0.0,0.2683857323210645,0.0,-0.0001347908509987577,0.0,0.0,0.0,-1.9419020937478478e-05,0.0,0.0,-0.0020613584510893353,0.0,0.0,0.0,0.0,-0.0010796823822997695,0.0,0.0,-0.00010150016676260026,0.0,0.0,0.0,0.0,0.0,0.0,0.0006072632451425632,0.002348158703401999
0.0,-3.80268910083563e-07,0.0,0.0,0.0,0.017790715521089913,0.0,0.0,0.2885207665184209,-0.2885207665184209,0.0,0.0,0.0,0.0,-0.12366745380985823,0.0,0.0,0.27339150834082737,0.0,-8.974349350763954e-05,0.0,0.0,0.00038259235159605887,-1.2929147390303055e-05,0.0,0.0,-0.0025379658984080525,0.0,0.0,0.0,0.0,-0.0007188504868711393,0.0,0.0,-6.757861894475092e-05,0.0,0.0,0.0,0.0023310346854541674,0.0,0.0,0.0004043147193898346,0.001563399620910523
0.0,-3.173832450884858e-07,0.0,0.0,0.0,0.010957541382616424,0.0,0.0,0.28750078358550957,-0.28750078358550957,0.0,0.0,0.0,0.0,-0.12850849515609117,0.0,0.0,0.27779179626374834,0.0,-7.49024714872773e-05,0.0,0.0009727739150706346,0.0022648702855818377,-1.079103404498669e-05,0.0,0.0,-0.002118258504445325,0.0,0.0,0.0,0.0,-0.0005999730564522473,0.0,0.0,-5.64030369313391e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00033745256126457374,0.0013048577780015
0.0,-3.3180015014320623e-07,0.0,0.0,0.0,0.004449545236470502,0.0,0.0,0.28609684737387364,-0.28609684737387364,0.0,0.0,0.0,0.0006779743124874041,-0.13050404644836275,0.0,0.0,0.28283957514743824,0.0,-7.830486224516031e-05,0.0,0.0,0.005305639072634869,-1.1281208985461118e-05,0.0,0.0,-0.0015365045571237891,0.0,0.0,0.0,0.0,-0.0006272263999230123,0.0,0.0,-5.896510421378276e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003527811005353448,0.0013641300016821055
0.0,-3.7938455153480987e-07,0.0,0.0,0.0,0.004570864127359592,0.0,0.0,0.2862993696337449,-0.2862993696337449,0.0,0.0,0.0,0.0,-0.12841868056302294,0.0,0.0,0.2836085687953262,0.0,-8.953478481867253e-05,0.0,0.0,0.006583338854923581,-1.2899079189302371e-05,0.0,0.0,-0.001369256770655278,0.0,0.0,0.0,0.0,-0.0007171787184028725,0.0,0.0,-6.742145718949834e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00040337443957994814,0.0015597637574906978
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,-0.2857142857142857,0.0,0.0,0.0,0.0,-0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
