M_2ddglcn_e,M_ac_e,M_ala__45__D_e,M_alaala_e,M_arab__45__L_e,M_arg__45__L_e,M_asp__45__L_e,M_buts_e,M_bz_e,M_ca2_e,M_cd2_e,M_cellb_e,M_cgly_e,M_cit_e,M_co2_e,M_cobalt2_e,M_cro4_e,M_cu2_e,M_eths_e,M_etoh_e,M_fe2_e,M_fe3_e,M_fru_e,M_glc__45__D_e,M_gln__45__L_e,M_glu__45__L_e,M_glyc3p_e,M_glyclt_e,M_gthrd_e,M_h2_e,M_h2o_e,M_h_e,M_hexs_e,M_hom__45__L_e,M_ile__45__L_e,M_istnt_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_mal__45__L_e,M_met__45__D_e,M_met__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_mops_e,M_na1_e,M_nh4_e,M_ni2_e,M_no2_e,M_no3_e,M_o2_e,M_orot_e,M_pi_e,M_ppa_e,M_ppn_e,M_pro__45__L_e,M_ptrc_e,M_pyr_e,M_rib__45__D_e,M_so4_e,M_spmd_e,M_succ_e,M_sula_e,M_tsul_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4035126155061713,0.0,0.0,0.0,0.0,0.11022546077823225,-0.0030927437682223323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37721483156348895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046117847663793406,0.0,0.0,0.0,-0.030406370933818566,0.0,-0.0028805970094411214,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007731766638242784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030927437682223323,0.022683612344785366
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43303680958213153,0.0,0.0,0.0,0.0,0.0,-0.0021463944841244413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22949264997836524,-0.03229813984292671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03200623823491006,0.0,0.0,0.0,-0.25059496938974757,0.0,-0.0019991625544859256,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005365921818476579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021463944841244413,0.015742649267336362
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32742317550991745,0.0,0.0,0.0,0.0,0.0,-0.005531665111260629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28038709853713273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19714867491594334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08248613789136222,0.0,0.0,0.0,-0.054384673888238505,0.0,-0.005152220542953706,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013828996828198236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005531665111260629,0.040571788809110845
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37249751192767655,0.0,0.0,0.0,0.0,0.06529604503811778,-0.004086881694297994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3779267715824966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0609420635922631,0.0,0.0,0.0,0.0,0.0,-0.003806542044477623,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010217081629294155,0.0,0.08036051485175885,0.0,0.0,0.0,0.0,0.0,0.0,0.004086881694297994,0.02997507941168403
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3432551777115707,0.0,0.0,0.0,0.0,0.0,-0.005024196426058813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03440207480443676,-0.32699490614195176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07491895312851495,0.0,0.0,0.0,0.0,0.0,-0.004679561672213308,0.0,0.0,0.0,0.0,0.0,0.0,-0.001256034033925425,0.0,0.16759512074898744,0.0,0.0,0.0,0.0,0.0,0.0,0.005024196426058813,0.03684977890628194
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32742317550991745,0.0,0.0,0.0,0.0,0.0,-0.005531665111260629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33477177242537126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08837932713946633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08248613789136222,0.0,0.0,0.0,0.0,0.0,-0.005152220542953706,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013828996828198236,0.0,0.10876934777647701,0.0,0.0,0.0,0.0,0.0,0.0,0.005531665111260629,0.040571788809110845
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36302778036477573,0.0,0.0,0.0,0.0,0.04693597120607942,-0.004390418300990582,0.0,0.0,0.0,0.0,0.0,0.0,0.01392580407557805,0.0,0.0,0.0,-0.36421834162762157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06546828885918189,0.0,0.0,0.0,0.0,0.0,-0.004089257557634133,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010975914039927427,0.0,0.10025477111527384,0.0,0.0,0.0,0.0,0.0,0.0,0.004390418300990582,0.03220135718788139
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3405802127297948,0.0,0.0,0.0,0.0,0.0,-0.005109938011044254,0.0,0.0,0.0,0.0,0.0,0.0,0.029865029350021947,0.0,0.0,0.013657007539413174,-0.3283088805029412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07619749983368981,0.0,0.0,0.0,0.0,0.0,-0.004759421813176673,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012774691729470302,0.0,0.1576559557133146,0.0,0.0,0.0,0.0,0.0,0.0,0.005109938011044254,0.037478647322612184
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3313681890771624,0.0,0.0,0.0,0.0,0.0,-0.0054052142162586015,0.0,0.0,0.0,0.0,0.0,0.0,0.01714459739409416,0.0,0.0,0.0,-0.3328339352138822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05778469417361995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08060054905837404,0.0,0.0,0.0,0.0,0.0,-0.005034443547094343,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013512873384220016,0.0,0.1234275362686433,0.0,0.0,0.0,0.0,0.0,0.0,0.0054052142162586015,0.039644339496190284
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36488982433600725,0.0,0.0,0.0,0.0,0.08498740709402225,-0.003293000135428223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40163963927024104,0.0,0.03237519533035795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08147919164681337,0.0,0.0,0.0,0.0,0.0,-0.003067116791138524,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008232401548566495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003293000135428223,0.02415238510570646
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2923243620212867,0.0,0.0,0.0,0.0,0.0,-0.003439142016743804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656933281445652,-0.3528948950011571,0.0,0.1003813249134009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1516645347453963,0.0,0.0,0.0,0.0,0.0,-0.003203234070105263,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008597751867599007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003439142016743804,0.025224257213949587
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29530323521887664,0.0,0.0,0.0,0.0,0.0,-0.0049890133798826735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35098052367160315,0.0,0.04904958276245766,0.0,0.0,0.0,0.0,0.0,0.12875897165988884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12344389935930415,0.0,0.0,0.0,0.0,0.0,-0.004646792007089622,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012472383779305288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049890133798826735,0.036591730183083974
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3561617940519876,0.0,0.0,0.0,0.0,0.07462024885511373,-0.0033752604187745304,0.0,0.0,0.0,0.0,0.0,0.0,0.01070586264759843,0.0,0.0,0.0,-0.3956139425265125,0.0,0.03853687024108113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08886750138423156,0.0,0.0,0.0,0.0,0.0,-0.0031437344303486916,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008438049789123764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033752604187745304,0.024755720046664847
