M_2ddglcn_e,M_ac_e,M_ala__45__D_e,M_alaala_e,M_arab__45__L_e,M_arg__45__L_e,M_asp__45__L_e,M_buts_e,M_bz_e,M_ca2_e,M_cd2_e,M_cellb_e,M_cgly_e,M_cit_e,M_co2_e,M_cobalt2_e,M_cro4_e,M_cu2_e,M_eths_e,M_etoh_e,M_fe2_e,M_fe3_e,M_fru_e,M_glc__45__D_e,M_gln__45__L_e,M_glu__45__L_e,M_glyc3p_e,M_glyclt_e,M_gthrd_e,M_h2_e,M_h2o_e,M_h_e,M_hexs_e,M_hom__45__L_e,M_ile__45__L_e,M_istnt_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_mal__45__L_e,M_met__45__D_e,M_met__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_mops_e,M_na1_e,M_nh4_e,M_ni2_e,M_no2_e,M_no3_e,M_o2_e,M_orot_e,M_pi_e,M_ppa_e,M_ppn_e,M_pro__45__L_e,M_ptrc_e,M_pyr_e,M_rib__45__D_e,M_so4_e,M_spmd_e,M_succ_e,M_sula_e,M_tsul_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2579101992273053,0.0,0.0,0.0,0.0,0.0,-5.133141744073148e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21038933897086898,-0.3089843494415145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022765298357930058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16474010712651863,0.0,0.0,0.0,0.0,0.0,-0.014061864370995443,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037743236370383964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015097475717862201,0.02276529835792908
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25764772569229705,0.0,0.0,0.0,0.0,0.0,-5.109876172943321e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21079549241686943,-0.30939687089476303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1639934352301673,0.0,0.0,0.0,0.0,0.0,-0.013998130049589042,0.0,0.0,0.0,0.0,0.002719453966766786,0.0,-0.003757216804727387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015029047567480358,0.022662116389722247
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2622403349963372,0.0,0.0,0.0,0.0,0.0,-5.041327877472498e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21333364521182244,-0.30122189456436255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16179348554979028,0.0,0.0,0.0,-0.006707432152053363,0.0,-0.013810347034462567,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037068142511308597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014827434933742643,0.02235810717351025
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26009480456795653,0.0,0.0,0.0,0.0,0.002255986553004753,-5.086820549075962e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20849079689241362,-0.31070806439780807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16325350126084667,0.0,0.0,0.0,0.0,0.0,-0.013934970863270873,0.0,0.0,0.0,0.0,0.0,0.0,-0.00374026434355101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014961236909046948,0.022559865530046564
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25732439257014206,0.0,0.0,0.0,0.0,0.0,-5.121482536275823e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21218282826746815,-0.30828253505261327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16436592319836987,0.0,0.0,0.0,0.0,0.0,-0.014029924828529362,0.0,0.0,0.0,0.0,0.0,0.0,-0.003765750793003962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022713590192179585,0.01506318393022301,0.02271359019217861
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25812998690464384,0.0,0.0,0.0,0.0,0.0,-5.092564928074983e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21042013930954906,-0.3093650361638322,0.0,0.001693900623267674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1651317586891386,0.0,0.0,0.0,0.0,0.0,-0.013950707167157881,0.0,0.0,0.0,0.0,0.0,0.0,-0.003744488100952828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014978132141397009,0.022585341643568017
0.0,0.0033993174584584828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2590074526756805,0.0,0.0,0.0,0.0,0.0,-5.109876172943321e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20943576543348602,-0.30871700740307134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1639934352301673,0.0,0.0,0.0,0.0,0.0,-0.013998130049589042,0.0,0.0,0.0,0.0,0.0,0.0,-0.003757216804727387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015029047567480358,0.022662116389722247
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25152480762293306,0.0,0.0,0.0,0.0,0.0,-5.096017787157322e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21836003425582942,-0.303133605076444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16897282933269628,0.0,0.0,0.0,0.0,0.0027120785938764855,-0.013960166020727253,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037470269374587327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014988287609286242,0.022600654948969744
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2585384214989115,0.0,0.0,0.0,0.0,0.0,-5.119821257391571e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.210816503118521,-0.30883128524022596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16431260706665102,0.0,0.0,0.0,0.0,0.0,-0.014025373877178815,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037645292790709434,0.0,0.0019462476411677646,0.0,0.0,0.0,0.0,0.0,0.0,0.015058297815857564,0.022706222480289612
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2579101992273053,0.0,0.0,0.0,0.0,0.0,-5.133141744073148e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0045530596715860116,0.0,0.0,0.20811280913507596,-0.3089843494415145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16474010712651863,0.0,0.0,0.0,0.0,0.0,-0.014061864370995443,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037743236370383964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015097475717862201,0.02276529835792908
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2578624681782632,0.0,0.0,0.0,0.0,0.0,-5.102167778274578e-07,0.0,0.0,0.0,0.0,0.0015085286625064176,0.0,0.0,0.0,0.0,0.21138261857213528,-0.30862843111442717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1652545750951661,0.0,0.0,0.0,0.0,0.0,-0.013977013469187746,0.0,0.0,0.0,0.0,0.0,0.0,-0.003751548935486205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015006375818454641,0.022627929937595295
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25834811800573215,0.0,0.0,0.0,0.0,0.0,-5.08473489570318e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2114803972951434,-0.30935063702756954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16441659908309977,0.0,0.0,0.0,0.0,0.0,-0.013929257369213003,0.0,0.0,0.001230033585415603,0.0,0.0,0.0,-0.0037387307932973766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01495510263442112,0.022550615732618424
