M_2ddglcn_e,M_ac_e,M_ala__45__D_e,M_alaala_e,M_arab__45__L_e,M_arg__45__L_e,M_asp__45__L_e,M_buts_e,M_bz_e,M_ca2_e,M_cd2_e,M_cellb_e,M_cgly_e,M_co2_e,M_cobalt2_e,M_cro4_e,M_cu2_e,M_eths_e,M_etoh_e,M_fe2_e,M_fe3_e,M_fru_e,M_fum_e,M_glc__45__D_e,M_gln__45__L_e,M_glu__45__L_e,M_glyc3p_e,M_glyclt_e,M_gthrd_e,M_h2_e,M_h2o_e,M_h_e,M_hexs_e,M_hom__45__L_e,M_ile__45__L_e,M_istnt_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_mal__45__L_e,M_met__45__D_e,M_met__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_mops_e,M_na1_e,M_nh4_e,M_ni2_e,M_no2_e,M_no3_e,M_o2_e,M_orot_e,M_pi_e,M_ppa_e,M_ppn_e,M_pro__45__L_e,M_ptrc_e,M_pyr_e,M_rib__45__D_e,M_so4_e,M_spmd_e,M_succ_e,M_sula_e,M_tsul_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2809631951824554e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092247600504739,-0.05976161796177485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2853602564238048,0.0,0.0,0.0,-0.0009018343671535349,0.0964482441275622,-0.006248530955320338,0.0,0.0,0.01925984358197428,0.0,0.0,0.0,-0.0016771586938412596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006708715279948398,0.01440881046182684
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3257569094685148e-07,0.0,0.0,0.0,0.0,0.0,0.019638069733289337,0.0,0.0,0.0,0.0,0.5192249513982626,-0.021659081316103706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2909641810385648,0.0,0.0,0.0,-0.02055761438663291,0.09834230147139257,-0.006371240041951535,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017100948532247067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006840461498436808,0.014691771686449943
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214688116901124,0.0,0.0,0.0,0.0,0.0163247362146371,-2.835331189697022e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2214050017754446,-0.28247924393442625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09099549305630683,0.0,0.0,0.0,0.0,0.0,-0.007767181313940455,0.0,0.0,0.0,0.0,0.118739756133196,0.0,-0.002084777327737313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019265455619073432,0.00833920938146183,0.017910744809533183
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027184406218407477,-2.2970562737492304e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49797347371450285,-0.05019471303524116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2850217877902795,0.0,0.0,0.0,-0.0047265724294801165,0.10565069058495256,-0.006292616760739418,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016889916978484892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006756047863968325,0.014510470198952673
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014742243921441446,-2.560478983979311e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4907572971380987,-0.061219569939408136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27605115828693294,0.0,0.0,0.0,0.0,0.09693830714255323,-0.007014243906097795,0.0,0.0,0.0,0.0,0.010291018040571134,0.0,-0.001882682542817282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017397894965030462,0.007530820541115621,0.016174507528034763
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008493405771898872,-2.759247224757972e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4931203209521136,-0.05857873497461741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2753010162817954,0.0,0.0,0.0,0.0,0.09337365917992536,-0.007558754886399115,0.0,0.0,0.0,0.0,0.0,0.0,-0.002028833907199467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03599944156880904,0.008115433013994035,0.01743012353852519
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02380820844871553,-2.435176744910067e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.492840841935512,-0.05822366595571584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28211684657957786,0.0,0.0,0.0,0.0,0.10198184038696011,-0.006670987635567532,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017905496491096532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010021556193411402,0.007162284543853138,0.015382975153902427
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22415342035686503,0.0,0.0,0.0,0.0,0.015022377916907052,-2.609133531544123e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22147019816305796,-0.2732399233718721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08373603514655753,0.0,0.0,0.0,-0.01329636898473869,0.0,-0.0071475294616113365,0.0,0.0,0.0,0.0,0.1358596484384442,0.0,-0.001918457516133636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007673922151600363,0.016481857578858904
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226559417529182,0.0,0.0,0.0,0.0,0.0,-2.5516360695297916e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24597232026861168,-0.23416304443726604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08189074457715514,0.0,0.0,0.0,-0.03871318421388431,0.0,-0.006990019392177634,0.0,0.0,0.0,0.0,0.14021137500161263,0.0,-0.0018761804778654099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00750481196920527,0.01611864696943286
