M_2ddglcn_e,M_ala__45__D_e,M_alaala_e,M_arab__45__L_e,M_arg__45__L_e,M_asp__45__L_e,M_buts_e,M_bz_e,M_ca2_e,M_cd2_e,M_cellb_e,M_cgly_e,M_cit_e,M_co2_e,M_cobalt2_e,M_cro4_e,M_cu2_e,M_eths_e,M_etoh_e,M_fe2_e,M_fe3_e,M_fru_e,M_fum_e,M_glc__45__D_e,M_gln__45__L_e,M_glu__45__L_e,M_glyc3p_e,M_glyclt_e,M_gthrd_e,M_h2_e,M_h2o_e,M_h_e,M_hexs_e,M_hom__45__L_e,M_ile__45__L_e,M_istnt_e,M_k_e,M_lac__45__L_e,M_leu__45__L_e,M_mal__45__L_e,M_met__45__D_e,M_met__45__L_e,M_mg2_e,M_mn2_e,M_mobd_e,M_mops_e,M_na1_e,M_nh4_e,M_ni2_e,M_no2_e,M_no3_e,M_o2_e,M_orot_e,M_pi_e,M_ppa_e,M_ppn_e,M_pro__45__L_e,M_ptrc_e,M_pyr_e,M_rib__45__D_e,M_so4_e,M_spmd_e,M_succ_e,M_sula_e,M_tsul_e,M_ura_e,M_val__45__L_e,M_zn2_e,M_fixed_uptake,objective,virtual_tag_R_constraint_reaction
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07334931773980782,0.0,0.0,0.0,0.0,0.0,0.36883531356285804,-0.36883539016034395,0.0,0.0,0.0,0.0,0.04742852500980647,0.0,0.0,0.0,0.0,0.044299250905472924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07201128281826738,0.0,0.0,0.0,0.0,0.0,-0.002098331803937268,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005632100493221586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002252867231695415,0.020326510718488497
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13609522309615435,0.0,0.0,0.0,0.0,0.0,0.0,-1.421220026354102e-07,0.0,0.0,0.0,0.0,0.08800075980567748,0.0,0.0,0.0,0.0,0.42437039002774796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13361258022000033,0.0,0.0,0.0,-0.17108790453627715,0.0,-0.003893327760724536,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010450021850836658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004180058901041476,0.03771461134529037
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07554405220491167,0.0,0.0,0.0,0.0,0.004635041182180424,0.35983030201564453,-0.3598303825184879,0.0,0.0,0.0,0.0,0.048301676115348795,0.0,0.0,0.0,0.0,0.051192909462806066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07413779696676133,0.0,0.0,0.0,0.0,0.0,-0.002205316201513678,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005919255688232455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002367730688061239,0.021362867075460982
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06016091330636765,0.0,0.0,0.0,0.0,0.0,0.1955730709397414,-0.1955732487188223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10281643084844978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05705539860416808,0.0,0.0,0.0,0.0,0.0,-0.004870127200953756,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013071834377707187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3302379766411997,0.005228796496640834,0.047176853805885696
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06480418534976129,0.0,0.0,0.0,0.0,0.011025839555488515,0.1665642138286777,-0.16656440532890393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12177773269535921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06145898429965608,0.0,0.0,0.0,0.0,0.0,-0.005246007888881511,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014080730017518815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3447001937047364,0.0056323595953226705,0.05081800475146073
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07777907096824782,0.0,0.0,0.0,0.0,0.0,0.40377325692189486,-0.4037733245338975,0.0,0.0,0.0,0.0,0.01579638677004603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03749539513114245,0.0,0.0,0.0,0.0,0.0,-0.0018521810983435783,0.0,0.0,0.0,0.0,0.0391026028600144,0.0,-0.0004971411126659181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019885883137234373,0.01794205229002385
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07647997053499112,0.0,0.0,0.0,0.0,0.0,0.38126654128500703,-0.3812666247109515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026774244154842947,0.0,0.0,0.0,0.0,0.0,-0.0022853924069150583,0.0,0.0,0.0,0.0,0.04824840926560134,0.0,-0.0006134187013721677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058473130537681335,0.0024537042499396702,0.022138564152697725
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07750276524228181,0.0,0.0,0.0,0.0,0.0,0.3989863026233952,-0.3989863735988658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012436652601382955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03521511307760522,0.0,0.0,0.0,0.0,0.0,-0.0019443208298433664,0.0,0.0,0.0,0.0,0.053484477411716726,0.0,-0.0005218721979142822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002087513841823231,0.018834608575171347
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07660200286826604,0.0,0.0,0.0,0.0,0.0,0.4033735792072201,-0.4033736396575025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021184760165975897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019400566921249758,0.0,0.0,0.0,0.0,0.0,-0.0016559910365817657,0.0,0.0,0.0,0.0,0.05614546670871626,0.0,-0.0004444820364635488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017779494812479703,0.01604156191677608
