,M_ac_e,M_ca2_e,M_cit_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mg2_e,M_nh4_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
0,0.0,-0.0009356071236959078,0.0,0.0,900.4075630629717,-900.4075630629717,0.0,0.0,-479.1686052402682,38.05198599965604,886.6563633685872,0.0,-0.22080335679467983,0.13610092841842056,0.0,-0.0318106531481201,-6.889598842928866,-1.7686474454120034,0.0,-0.16626927844389439,0.0,0.9947690217249043,1.0,-10.0
1,0.0,-0.0009356071236958867,0.0,0.0,860.9382938216106,-860.9382938216106,0.8166055705102889,0.0,-458.20906226382147,36.690976715471116,847.8675987693185,0.0,-0.22080335679467494,0.0,0.0,-0.031810653148119386,-6.753497914510378,-1.768647445411745,0.0,-0.1662692784438907,0.0,0.9947690217248008,1.0,-10.0
2,0.0,-0.0009356071236959746,0.0,0.0,891.6971036442567,-891.6971036442567,0.0,0.0,-474.81337553091305,38.05198599965871,877.9459039498712,0.1361009284184303,-0.22080335679469565,0.0,0.0,-0.03181065314812238,-6.889598842929363,-1.7686474454119734,0.0,-0.16626927844390632,0.0,0.9947690217247896,1.0,-10.0
3,0.0,-0.0009356071236959031,0.0,0.0,891.4249017873516,-891.4249017873516,0.0,0.0,-474.5411736740399,38.05198599965592,877.6737020929672,0.0,-0.22080335679467877,0.0,0.13610092841841992,-0.03181065314811995,-7.025699771347141,-1.7686474454119319,0.0,-0.1662692784438936,0.0,0.9947690217248911,1.0,-10.0
4,0.0,-0.0009356071236959318,0.0,0.0,879.3119191581393,-879.3119191581393,0.0,0.0,-467.8041777173422,37.30343089335587,865.8329213205915,0.0,-0.22080335679468552,0.0,0.0,-0.03181065314812092,-6.753497914510666,-1.7686474454119936,0.0,-0.16626927844389872,0.0,0.9947690217246848,1.0,-9.795848607372363
5,0.0,-0.000935607123695947,0.0,0.0,892.6225899574758,-892.6225899574758,0.0,0.0,-475.1944581304706,37.997545628290425,878.8986104487743,0.0,-0.22080335679468913,0.0,0.0,-0.03181065314812143,-6.916819028612866,-1.7686474454118581,0.0,-0.1662692784439014,0.16332111410211153,0.9947690217248871,1.0,-10.0
6,0.0,-0.0009356071236959357,0.0,0.0,878.087010802377,-878.087010802377,0.0,0.4083027852551884,-467.19172353946135,37.507582285983624,864.608012964829,0.0,-0.22080335679468643,0.0,0.0,-0.031810653148121044,-7.16180069976587,-1.7686474454119132,0.0,-0.16626927844389938,0.0,0.9947690217247053,1.0,-10.0
7,0.408302785255142,-0.000935607123696061,0.0,0.0,893.6025166421972,-893.6025166421972,0.0,0.0,-475.35777924463025,37.5075822859885,880.1235188046472,0.0,-0.220803356794716,0.0,0.0,-0.031810653148125305,-6.753497914511615,-1.76864744541215,0.0,-0.16626927844392164,0.0,0.9947690217250126,1.0,-10.0
8,0.0,-0.0009356071236961517,0.13610092841845606,0.0,885.4364609371764,-885.4364609371764,0.0,0.0,-470.86644860686744,37.37148135757363,871.9574630996253,0.0,-0.22080335679473742,0.0,0.0,-0.03181065314812839,-6.753497914512164,-1.7686474454123648,0.0,-0.16626927844393777,0.0,0.9947690217249648,1.0,-10.0
9,0.0,-0.0009356071236959678,0.0,0.0,894.146920355782,-894.146920355782,0.0,0.0,-475.7933022155222,37.997545628291284,880.4229408470803,0.0,-0.22080335679469404,0.0,0.0,-0.03181065314812215,-6.9168190286130224,-1.7686474454121253,0.1633211141021152,-0.16626927844390513,0.0,0.9947690217248412,1.0,-10.0
11,0.0,-0.0009356071236959383,0.0,0.8166055705103356,854.4054492575738,-854.4054492575738,0.0,0.0,-454.1260344112938,36.690976715472964,840.5181486347703,0.0,-0.22080335679468707,0.0,0.0,-0.03181065314812114,-6.753497914510482,-1.7686474454118588,0.0,-0.16626927844389985,0.0,0.9947690217247559,1.0,-10.0
