,M_ac_e,M_ca2_e,M_cit_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
0,0.0,-0.0006237380824639597,0.0,0.0,481.3866925461959,-481.3866925461959,13.877737047007697,-259.2734544229534,14.46065114364819,474.8372305683271,0.0,-0.14720223786312492,0.0,0.0,-0.021207102098747457,-2.2511659715035135,-1.1790982969412274,0.0,-0.11084618562926672,0.0,0.6631793478165523,1.0,-10.0
3,0.0,-0.0006237380824639861,0.0,13.877737047008269,370.36479617014925,-370.36479617014925,0.0,-189.8847691879226,14.460651143648807,349.937597145272,0.0,-0.1472022378630682,0.0,0.0,-0.021207102098748352,-2.251165971503603,-1.1790982969414034,0.0,-0.11084618562927141,0.0,0.6631793478165785,1.0,-10.0
4,0.0,-0.0006237380824640181,0.0,0.0,532.0093398651993,-532.0093398651993,11.213387188116371,-285.9169530119032,16.458913537818976,524.1277029578839,0.0,-0.14720223786313866,0.0,0.0,-0.021207102098749438,-2.2511659715036765,-1.1790982969414292,0.0,-0.11084618562927707,0.0,0.6631793478167062,1.0,-9.333912535277014
6,0.0,-0.0006237380824639311,0.0,0.0,784.3105515977115,-784.3105515977115,0.0,-417.6742524722141,24.868953928902975,770.8222210963395,0.0,-0.14720223786311817,0.0,0.0,-0.02120710209874648,-2.251165971503481,-1.1790982969412587,0.0,-0.11084618562926164,0.0,0.6631793478166277,1.0,-6.530565738248406
7,0.0,-0.000623738082464006,0.0,11.21338718811614,442.30224236025873,-442.30224236025873,0.0,-229.85001707131624,16.458913537818695,423.20721826482685,0.0,-0.14720223786313583,0.0,0.0,-0.02120710209874902,-2.2511659715037142,-1.1790982969413828,0.0,-0.11084618562927491,0.0,0.6631793478166395,1.0,-9.333912535277006
8,0.0,-0.0006237380824639472,0.0,0.0,551.325876342108,-551.325876342108,12.212518385199838,-297.07391804598217,17.12500100254008,543.1111957024317,0.0,-0.14720223786312198,0.0,0.0,-0.02120710209874703,-2.417687837684285,-1.179098296941285,0.0,-0.1108461856292645,0.33304373236139484,0.66317934781655,1.0,-10.0
11,0.0,-0.0006237380824639792,0.0,12.212518385200337,453.6257292605324,-453.6257292605324,0.0,-236.01132611999506,17.12500100254112,433.1985302356552,0.0,-0.14720223786312953,0.0,0.0,-0.021207102098748112,-2.4176878376844027,-1.17909829694132,0.0,-0.11084618562927016,0.33304373236139045,0.6631793478165751,1.0,-10.0
12,0.0,-0.0006237380824639394,0.0,0.0,554.4342845108087,-554.4342845108087,12.212518385199667,-298.2950783979707,17.125001002539975,546.2196038711324,0.0,-0.14720223786312012,0.0,0.0,-0.021207102098746763,-2.4176878376841935,-1.1790982969412644,0.3330437323614654,-0.11084618562926311,0.0,0.6631793478164655,1.0,-10.0
15,0.0,-0.0006237380824639307,0.0,12.212518385199393,456.7341374292048,-456.7341374292048,0.0,-237.23248647196903,17.125001002539673,436.3069384043292,0.0,-0.1472022378631181,0.0,0.0,-0.02120710209874647,-2.417687837684242,-1.1790982969412778,0.3330437323614858,-0.11084618562926157,0.0,0.6631793478165483,1.0,-10.0
16,0.0,-0.0006237380824639351,0.0,0.0,575.97111253685,-575.97111253685,11.879474652837875,-310.2291454742565,17.791088467262785,567.090344432451,0.0,-0.1472022378631191,0.0,0.33304373236140083,-0.021207102098746617,-2.5842097038649667,-1.1790982969413115,0.0,-0.11084618562926235,0.0,0.6631793478165527,1.0,-10.0
