,M_ac_e,M_ca2_e,M_cit_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
0,0.0,-0.0006130706640877208,0.0,0.0,468.6647183654446,-468.6647183654446,14.324490445089962,0.0,-252.25265487891232,13.700267289649721,462.56931591439434,0.0,-0.14468472626434367,0.0,0.0,-0.020844409749193785,-2.2126656298896825,-1.1589328858595527,0.0,-0.10895044978955877,0.0,0.6518373891314344,1.0,-10.0
1,0.0,-0.000613070664087703,0.0,14.324490445089513,354.0687948047141,-354.0687948047141,0.0,0.0,-180.63020265345688,13.7002672896493,333.64890190857443,0.0,-0.1446847262642873,0.0,0.0,-0.02084440974919318,-2.212665629889717,-1.1589328858595633,0.0,-0.10895044978955563,0.0,0.6518373891314772,1.0,-10.0
4,0.0,-0.0006130706640876869,0.0,0.0,469.3940370491941,-469.3940370491941,13.838277989239131,0.0,-252.86042044871095,14.064926631536444,463.055528370219,0.0,-0.1446847262643357,0.0,0.0,-0.02084440974919264,-2.212665629889652,-1.158932885859531,0.0,-0.10895044978955279,0.0,0.6518373891313519,1.0,-9.878446886037482
5,0.0,-0.0006130706640877244,0.0,13.838277989239947,358.68781313530246,-358.68781313530246,0.0,0.0,-183.66903050252628,14.064926631537329,338.5110264670871,0.0,-0.1446847262643431,0.0,0.0,-0.020844409749193913,-2.212665629889737,-1.158932885859645,0.0,-0.10895044978955944,0.0,0.6518373891314777,1.0,-9.878446886037475
7,0.0,-0.0006130706640877256,0.0,0.0,522.9107031649711,-522.9107031649711,11.021611351569,0.0,-281.0270868254361,16.177426609790604,515.1638611671601,0.0,-0.14468472626434484,0.0,0.0,-0.020844409749193955,-2.212665629889807,-1.1589328858596633,0.0,-0.10895044978955966,0.0,0.6518373891313775,1.0,-9.1742802266198
8,0.0,-0.0006130706640877095,0.0,11.021611351568763,434.73781235240654,-434.73781235240654,0.0,0.0,-225.91903006758434,16.177426609790075,415.9693590030269,0.0,-0.14468472626434103,0.0,0.0,-0.020844409749193403,-2.212665629889743,-1.158932885859639,0.0,-0.10895044978955679,0.0,0.6518373891315032,1.0,-9.17428022661983
9,0.0,-0.0006130706640877869,0.0,0.0,770.8969585753536,-770.8969585753536,0.0,0.0,-410.5310202064145,24.44363512346986,757.6393109017569,0.0,-0.1446847262643593,0.0,0.0,-0.020844409749196036,-2.2126656298899823,-1.1589328858596923,0.0,-0.10895044978957055,0.0,0.6518373891315915,1.0,-6.4188773887273625
10,0.0,-0.0006130706640877498,0.0,0.0,996.839991282483,-996.839991282483,0.0,5.510805675784516,-531.7687450736547,27.199037961360542,978.0715379331023,0.0,-0.1446847262643505,0.0,0.0,-0.02084440974919477,-4.968068467782041,-1.1589328858596772,0.0,-0.10895044978956393,0.0,0.651837389131421,1.0,-9.174280226619718
11,0.0,-0.0006130706640877616,0.0,0.0,472.91907735416453,-472.91907735416453,14.02060766018451,0.0,-254.89643510761417,14.186479745500803,466.5197921182075,0.0,-0.1446847262643533,0.0,0.0,-0.020844409749195176,-2.243053908380468,-1.1589328858596502,0.0,-0.10895044978956604,0.0607765569812663,0.6518373891315711,1.0,-10.0
12,0.0,-0.0006130706640877136,0.0,14.02060766018348,360.7542160726592,-360.7542160726592,0.0,0.0,-184.7933968066764,14.186479745499676,340.3343231765189,0.0,-0.14468472626428777,0.0,0.0,-0.020844409749193545,-2.2430539083803978,-1.1589328858595866,0.0,-0.10895044978955754,0.060776556981261554,0.651837389131433,1.0,-10.0
14,0.0,-0.0006130706640877597,0.0,0.0,546.8565765930288,-546.8565765930288,12.260191011640067,0.0,-294.85789302957164,17.003146383171657,538.6968747085272,0.0,-0.14468472626435286,0.0,0.0,-0.02084440974919511,-2.419095573234996,-1.158932885859713,0.0,-0.1089504497895657,0.4128598866900394,0.6518373891314145,1.0,-10.0
15,0.0,-0.0006130706640877271,0.0,12.260191011639531,448.7750484998834,-448.7750484998834,0.0,0.0,-233.5569379713582,17.003146383170847,428.3551556037428,0.0,-0.14468472626434517,0.0,0.0,-0.020844409749193996,-2.419095573234899,-1.1589328858597037,0.0,-0.1089504497895599,0.4128598866899778,0.6518373891314522,1.0,-10.0
18,0.0,-0.0006130706640877371,0.0,0.0,473.48632521930426,-473.48632521930426,14.02060766018409,0.0,-255.1192824832019,14.186479745500106,467.0870399833473,0.0,-0.14468472626434753,0.0,0.0,-0.020844409749194343,-2.2430539083804235,-1.1589328858597114,0.06077655698126388,-0.1089504497895617,0.0,0.6518373891314676,1.0,-10.0
19,0.0,-0.0006130706640877527,0.0,14.020607660184394,361.3214639378406,-361.3214639378406,0.0,0.0,-185.01624418228616,14.186479745500531,340.901571041699,0.0,-0.14468472626429968,0.0,0.0,-0.02084440974919487,-2.2430539083805625,-1.1589328858596875,0.06077655698126542,-0.10895044978956446,0.0,0.6518373891314632,1.0,-10.0
21,0.0,-0.0006130706640877797,0.0,0.0,550.7099355354882,-550.7099355354882,12.260191011640563,0.0,-296.37171261411197,17.003146383172282,542.5502336509865,0.0,-0.14468472626435758,0.0,0.0,-0.020844409749195793,-2.4190955732349444,-1.1589328858596706,0.41285988669006835,-0.10895044978956928,0.0,0.6518373891314345,1.0,-10.0
22,0.0,-0.0006130706640876806,0.0,12.260191011638595,452.62840744229015,-452.62840744229015,0.0,0.0,-235.0707575558709,17.00314638316952,432.20851454615115,0.0,-0.1446847262643342,0.0,0.0,-0.020844409749192418,-2.4190955732347206,-1.1589328858596346,0.4128598866899574,-0.10895044978955164,0.0,0.6518373891314265,1.0,-10.0
25,0.0,-0.0006130706640877528,0.0,0.0,477.4165425707715,-477.4165425707715,13.959831103203156,0.0,-257.2971091083704,14.308032859462994,470.89570422085205,0.0,-0.14468472626435125,0.0,0.06077655698126544,-0.02084440974919488,-2.273442186871098,-1.1589328858597445,0.0,-0.10895044978956449,0.0,0.6518373891314528,1.0,-10.0
26,0.0,-0.0006130706640876975,0.0,13.959831103201891,365.7378937451129,-365.7378937451129,0.0,0.0,-187.49795359233764,14.308032859461788,345.257224291992,0.0,-0.1446847262642874,0.0,0.060776556981259944,-0.020844409749192997,-2.2734421868709327,-1.1589328858596106,0.0,-0.10895044978955466,0.0,0.6518373891315075,1.0,-10.0
28,0.0,-0.0006130706640877634,0.0,0.0,577.4082082081034,-577.4082082081034,11.84733112494995,0.0,-311.16585855383454,17.828866156552102,568.4227865502214,0.0,-0.14468472626435372,0.0,0.4128598866900788,-0.020844409749195235,-2.625525516580017,-1.1589328858597663,0.0,-0.10895044978956635,0.0,0.6518373891315423,1.0,-10.0
29,0.0,-0.0006130706640876904,0.0,11.84733112494856,482.6295592084449,-482.6295592084449,0.0,0.0,-251.92920292905387,17.828866156550053,461.7968064256153,0.0,-0.14468472626433648,0.0,0.4128598866899564,-0.02084440974919275,-2.625525516579802,-1.1589328858595584,0.0,-0.10895044978955337,0.0,0.6518373891314125,1.0,-10.0
32,0.0,-0.0006130706640877289,0.0,0.0,471.98717014709337,-471.98717014709337,14.08138421716517,0.0,-254.33931666860562,14.105444336191583,465.6486614681178,0.0,-0.1446847262643456,0.040517704654175375,0.0,-0.020844409749194062,-2.232924482216774,-1.1589328858596832,0.0,-0.10895044978956021,0.0,0.6518373891314329,1.0,-10.0
33,0.0,-0.0006130706640876923,0.0,14.081384217164237,359.3360964097505,-359.3360964097505,0.0,0.0,-183.93239558276875,14.105444336190828,338.91620351361115,0.0,-0.14468472626431267,0.04051770465417296,0.0,-0.020844409749192824,-2.2329244822167817,-1.1589328858595591,0.0,-0.10895044978955375,0.0,0.6518373891315038,1.0,-10.0
35,0.0,-0.0006130706640877604,0.0,0.0,540.5260583304471,-540.5260583304471,12.673050898330231,0.0,-291.0733440682456,16.452666534251467,532.7792163326357,0.0,-0.14468472626435303,0.27523992445997136,0.0,-0.020844409749195134,-2.3502855921198353,-1.1589328858597818,0.0,-0.10895044978956582,0.0,0.6518373891315303,1.0,-10.0
36,0.0,-0.0006130706640877197,0.0,12.673050898329475,439.141651143775,-439.141651143775,0.0,0.0,-227.7080895765786,16.452666534250536,418.72175824763457,0.0,-0.14468472626434337,0.275239924459968,0.0,-0.020844409749193746,-2.3502855921197936,-1.1589328858596246,0.0,-0.10895044978955856,0.0,0.6518373891314657,1.0,-10.0
39,0.0,-0.0006130706640877051,0.0,0.0,474.8639271775214,-474.8639271775214,13.959831103202067,0.0,-255.9904131332533,14.30803285946194,468.40386538458364,0.0607765569812607,-0.14468472626433998,0.0,0.0,-0.020844409749193257,-2.2430539083802397,-1.1589328858595558,0.0,-0.108950449789556,0.0,0.6518373891314604,1.0,-10.0
40,0.0,-0.0006130706640876785,0.0,13.9598311032015,363.18527835188866,-363.18527835188866,0.0,0.0,-186.19125761723473,14.308032859461306,342.7653854557497,0.060776556981258056,-0.1446847262643099,0.0,0.0,-0.020844409749192345,-2.2430539083801886,-1.1589328858595533,0.0,-0.10895044978955126,0.0,0.6518373891314819,1.0,-10.0
43,0.0,-0.000613070664087736,0.0,0.0,560.0680929670921,-560.0680929670921,11.847331124949568,0.0,-302.2893709899828,17.828866156551417,551.4955311959006,0.4128598866899816,-0.14468472626434728,0.0,0.0,-0.020844409749194305,-2.4190955732348316,-1.1589328858595762,0.0,-0.10895044978956149,0.0,0.6518373891314101,1.0,-10.0
44,0.0,-0.0006130706640877481,0.0,11.847331124949799,465.2894439675044,-465.2894439675044,0.0,0.0,-243.05271536523964,17.828866156551673,444.8695510713632,0.4128598866900417,-0.14468472626435014,0.0,0.0,-0.020844409749194714,-2.419095573234904,-1.1589328858597605,0.0,-0.10895044978956364,0.0,0.6518373891315179,1.0,-10.0
46,0.0,-0.0006130706640876869,0.0607765569812589,0.0,469.3940370491941,-469.3940370491941,13.959831103201576,0.0,-252.79964389172972,14.004150074555223,463.11630492720025,0.0,-0.1446847262643357,0.0,0.0,-0.02084440974919264,-2.212665629889652,-1.158932885859531,0.0,-0.10895044978955279,0.0,0.6518373891313519,1.0,-10.0
47,0.0,-0.0006130706640876931,0.060776556981259514,13.959831103201786,357.71538822358406,-357.71538822358406,0.0,0.0,-183.0004883757231,14.004150074555394,337.4778249983884,0.0,-0.14468472626429568,0.0,0.0,-0.020844409749192848,-2.2126656298896923,-1.1589328858595738,0.0,-0.10895044978955389,0.0,0.6518373891315103,1.0,-10.0
49,0.0,-0.0006130706640877256,0.4128598866900063,0.0,522.9107031649711,-522.9107031649711,11.847331124949386,0.0,-280.61422693874584,15.764566723100408,515.5767210538503,0.0,-0.14468472626434484,0.0,0.0,-0.020844409749193955,-2.212665629889807,-1.1589328858596633,0.0,-0.10895044978955966,0.0,0.6518373891313775,1.0,-10.0
50,0.0,-0.0006130706640877052,0.4128598866900825,11.847331124948846,428.13205416536164,-428.13205416536164,0.0,0.0,-221.37757131399155,15.764566723099879,408.950740929292,0.0,-0.14468472626434,0.0,0.0,-0.020844409749193257,-2.2126656298897416,-1.1589328858596177,0.0,-0.10895044978955602,0.0,0.651837389131413,1.0,-10.0
