,M_ac_e,M_ca2_e,M_cit_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_lac__45__L_e
22,5.092676890485249,-0.0002779794969135415,0.0,0.0,179.3373082600942,-179.3373082600942,8.172814947110743,0.0,-87.04789001614905,0.0,182.41241157828472,0.0,-0.06560318373390575,0.0,0.0,0.0,-0.009451306146189263,-1.0032704460747364,-0.5254852326806284,0.0,-0.04940049001704013,0.0,0.2955571683891323,1.0,-10.0
55,4.524675464855303,-0.00027797949691353796,0.0,8.172814947110618,165.0749169898963,-165.0749169898963,0.0,0.5680014256298276,-72.02788014675447,0.0,159.40920393534623,0.0,-0.06560318373389538,0.0,0.0,0.0,-0.009451306146189142,-1.2872711588897188,-0.5254852326806488,0.0,-0.0494004900170395,0.0,0.2955571683891154,1.0,-10.0
56,5.092676890485168,-0.0002779794969135366,0.0,8.172814947110599,127.5868228983234,-127.5868228983234,0.0,0.0,-52.99983238815314,0.0,122.48911126940324,0.0,-0.06560318373390596,0.0,0.0,0.0,-0.009451306146189095,-1.0032704460747737,-0.5254852326806703,0.0,-0.049400490016995494,0.0,0.2955571683891192,1.0,-10.0
57,5.09267689048518,-0.0002779794969135356,0.0,6.4688106702209245,127.58682289832296,-127.58682289832296,1.7040042768896309,0.0,-54.70383666504255,0.0,124.19311554629239,0.0,-0.06560318373390751,0.0,0.0,0.0,-0.009451306146189062,-1.0032704460747524,-0.5254852326806669,0.0,-0.049400490017018,0.0,0.2955571683891241,1.0,-10.0
58,0.8326661982610415,-0.00027797949691353254,0.0,11.580823500889645,226.4190709579193,-226.4190709579193,0.0,0.0,-99.85995000261678,0.0,216.20934649833026,0.0,-0.06560318373393847,0.0,0.8520021384447807,0.0,-0.009451306146188958,-1.8552725845195135,-0.525485232680646,0.0,-0.049400490017038536,0.0,0.29555716838913026,1.0,-10.0
122,1.8627127516184336,-0.00027797949691353016,0.0,0.0,214.2062796528186,-214.2062796528186,0.0,0.0,-105.33881904719998,4.514629140899456,213.19497549745375,0.0,-0.0656031837339379,0.0,0.0,3.658185806210884,-0.009451306146188877,-1.0032704460747326,-0.525485232680628,0.0,-0.04940049001703811,0.0,0.29555716838907226,1.0,-10.0
123,5.520898557829409,-0.00027797949691353276,0.0,0.0,177.6244215907114,-177.6244215907114,7.316371612421839,0.0,-87.04789001614638,0.8564433346885758,180.2713032415574,0.0,-0.06560318373389247,0.0,0.0,0.0,-0.009451306146188967,-1.0032704460747564,-0.5254852326806138,0.0,-0.049400490017038584,0.0,0.2955571683890791,1.0,-10.0
124,5.690410746269485,-0.00027797949691352614,0.0,6.977347235541291,132.99344814342956,-132.99344814342956,0.0,0.0,-58.094080433844574,1.1954677115689942,128.49347037029406,0.0,-0.06560318373390715,0.0,0.0,0.0,-0.009451306146188743,-1.0032704460747341,-0.5254852326806305,0.0,-0.04940049001703084,0.0,0.295557168389108,1.0,-10.0
125,5.840182949000918,-0.0002779794969135439,0.0,0.0,485.8427131014449,-485.8427131014449,0.0,3.3389014150396306,-250.142858091455,8.172814947110686,481.4925075310403,0.0,-0.06560318373394115,0.0,0.0,0.0,-0.009451306146189343,-2.6727211535946696,-0.5254852326806317,0.0,-0.049400490017040555,0.0,0.2955571683890814,1.0,-10.0
126,9.17908436404052,-0.0002779794969135418,0.0,0.0,465.8093046112029,-465.8093046112029,0.0,0.0,-238.45670313881408,8.17281494711073,464.798000455838,0.0,-0.06560318373394065,0.0,0.0,0.0,-0.009451306146189272,-1.003270446074722,-0.5254852326805878,0.0,-0.04940049001704018,0.0,0.2955571683890138,1.0,-10.0
