,M_ac_e,M_ca2_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_k_e,M_mal__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_so4_e,objective,virtual_tag_R_constraint_reaction,M_lac__45__L_e
22,3.854261501795674,-0.0003127269340277207,0.0,214.25447179259746,-214.25447179259746,9.194416815499148,0.0,-104.17887626816352,0.0,217.08896302556158,-0.07380358170068,0.0,-0.010632719414462465,-1.1286792518340816,-0.5911708867657477,-0.05557555126916776,0.33250181443775845,1.0,-10.0
54,3.2152598979619897,-0.000312726934027715,9.194416815498982,198.2092816136242,-198.2092816136242,0.0,0.6390016038335341,-87.28136516509477,0.0,191.21035442725568,-0.07380358170061635,0.0,-0.010632719414462267,-1.4481800537508047,-0.5911708867657379,-0.05557555126916673,0.33250181443771076,1.0,-10.0
55,4.812763907546087,-0.0003127269340277224,7.277412003998399,152.2011661376096,-152.2011661376096,0.0,0.0,-67.791816248172,1.917004811500803,146.79974296082486,-0.07380358170064347,0.0,-0.01063271941446252,-1.1286792518340594,-0.5911708867657105,-0.055575551269124855,0.33250181443777505,1.0,-10.0
56,3.8542615017956345,-0.00031272693402771817,9.194416815499087,156.03517576060906,-156.03517576060906,0.0,0.0,-65.87481143667026,0.0,149.67525017807407,-0.07380358170067472,0.0,-0.01063271941446238,-1.1286792518340765,-0.5911708867657355,-0.05557555126913931,0.332501814437723,1.0,-10.0
57,3.8542615017956607,-0.00031272693402772136,7.277412003998376,156.03517576061066,-156.03517576061066,1.9170048115007678,0.0,-67.79181624817173,0.0,151.5922549895764,-0.07380358170066116,0.0,-0.010632719414462486,-1.1286792518340978,-0.5911708867657101,-0.05557555126914377,0.3325018144377711,1.0,-10.0
117,4.961010877558004,-0.0003127269340277267,0.0,510.0069510404603,-510.0069510404603,0.0,3.490459031987288,-262.99476222358794,9.194416815499252,504.75377483368754,-0.07380358170068138,0.0,-0.010632719414462663,-2.8739087678276634,-0.5911708867656627,-0.0555755512691688,0.33250181443762483,1.0,-10.0
118,4.961010877558285,-0.00031272693402773687,0.0,209.82747428955884,-209.82747428955884,6.980918063974827,0.0,-104.17887626816892,2.213498751524809,211.5552161467607,-0.0738035817006838,0.0,-0.010632719414463011,-1.1286792518340876,-0.5911708867657525,-0.055575551269170624,0.33250181443772425,1.0,-10.0
119,1.4705518455708475,-0.00031272693402774,0.0,244.73206460943558,-244.73206460943558,0.0,0.0,-121.63117142810725,5.703957783512288,242.96934743465,-0.07380358170068455,3.490459031987407,-0.01063271941446312,-1.12867925183415,-0.5911708867657092,-0.055575551269171186,0.3325018144377419,1.0,-10.0
120,4.961010877557928,-0.0003127269340277159,6.9809180639743476,153.98012977774985,-153.98012977774985,0.0,0.0,-69.27428594829009,2.21349875152465,148.7269535709772,-0.07380358170064578,0.0,-0.0106327194144623,-1.1286792518340334,-0.5911708867657397,-0.05557555126913086,0.33250181443776644,1.0,-10.0
121,5.320205817626287,-0.0003127269340277534,0.0,502.8230522391495,-502.8230522391495,0.0,3.1312640919197205,-259.22321535289933,9.19441681550014,497.929070972444,-0.0738035817006877,0.0,-0.010632719414463575,-2.6943112977941124,-0.5911708867657612,-0.055575551269173566,0.3325018144376478,1.0,-10.0
122,8.451469909545919,-0.00031272693402774717,0.0,484.0354676876206,-484.0354676876206,0.0,0.0,-248.26379103117483,9.194416815499801,482.272750512835,-0.07380358170068622,0.0,-0.01063271941446336,-1.1286792518340256,-0.5911708867657418,-0.05557555126917244,0.3325018144377669,1.0,-10.0
123,5.320205817625766,-0.00031272693402772744,0.0,233.53434033402053,-233.53434033402053,6.262528183839218,0.0,-116.75069917053517,2.931888631660109,234.90288725115465,-0.07380358170068158,0.0,-0.01063271941446269,-1.1286792518340742,-0.5911708867657244,-0.05557555126916895,0.3325018144377289,1.0,-10.0
124,2.188941725706097,-0.0003127269340277205,0.0,264.84698125321074,-264.84698125321074,0.0,0.0,-132.4070196301303,6.063152723579598,263.08426407842535,-0.07380358170067991,3.131264091919466,-0.010632719414462456,-1.1286792518340492,-0.591170886765716,-0.05557555126916771,0.3325018144377192,1.0,-10.0
125,5.320205817625796,-0.00031272693402772754,6.262528183839221,183.4341148633067,-183.4341148633067,0.0,0.0,-85.438058251339,2.931888631660119,178.54013359660158,-0.07380358170066822,0.0,-0.010632719414462697,-1.128679251834085,-0.5911708867657507,-0.05557555126916898,0.3325018144377306,1.0,-10.0
