,M_ac_e,M_co2_e,M_fe2_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_mal__45__L_e,M_nh4_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,objective,virtual_tag_R_constraint_reaction,M_fum_e
0,0.0,8.010470324667748,-1.594309947276327e-05,0.0,0.0,3.6052200969533876,-9.59678977180201,3.000000000000003,-5.116686906424018,0.0,-0.43674948718908896,0.0,0.0,-0.1172272658497744,0.468914690375389,1.0,-10.0
13,0.0,8.249644363934207,-1.5943099472763264e-05,0.0,0.0,3.963981155853077,-10.075137850334926,2.4020649018338527,-5.116686906424019,0.0,-0.4367494871890897,0.0,0.7175221177993759,-0.11722726584977419,0.46891469037538935,1.0,-10.0
14,0.0,8.249644363934207,-1.5943099472763264e-05,0.0,0.023445734518766376,3.9522582885936925,-10.075137850334926,2.390342034574468,-5.116686906424019,0.0,-0.4367494871890897,0.0,0.7175221177993759,-0.11722726584977419,0.46891469037538935,1.0,-10.0
25,0.0,9.684688599532949,-1.594309947276324e-05,0.0,0.023445734518767802,5.387302524192441,-11.510182085933666,1.6728199167750872,-5.834209024223387,0.0,-0.43674948718908946,0.7175221177993752,0.0,-0.11722726584977393,0.4689146903753892,1.0,-10.0
26,0.0,9.684688599532949,-1.594309947276324e-05,0.0,0.0,5.399025391451826,-11.510182085933666,1.684542784034473,-5.834209024223387,0.0,-0.43674948718908946,0.7175221177993752,0.0,-0.11722726584977393,0.4689146903753892,1.0,-10.0
31,0.0,8.010470324667748,-1.594309947276327e-05,0.0,0.2626197737852262,3.4739102100607724,-9.59678977180201,2.8686901131073883,-5.116686906424018,0.0,-0.43674948718908896,0.0,0.0,-0.1172272658497744,0.468914690375389,1.0,-10.0
43,0.0,8.24964436393421,-1.594309947276327e-05,0.2391740392664573,0.02344573451876811,3.952258288593692,-9.835963811068469,2.6295160738409304,-5.3558609456904795,0.0,-0.43674948718908985,0.0,0.0,-0.11722726584977375,0.468914690375388,1.0,-10.0
44,0.0,8.24964436393421,-1.594309947276327e-05,0.2391740392664573,0.0,3.9639811558530758,-9.835963811068469,2.641238941100314,-5.3558609456904795,0.0,-0.43674948718908985,0.0,0.0,-0.11722726584977375,0.468914690375388,1.0,-10.0
55,0.0,6.814600128335443,-1.5943099472763247e-05,0.0,0.0,6.116547509251206,-8.640093614736157,2.4020649018338514,-6.551731142022766,0.717522117799375,-0.4367494871890891,0.0,0.0,-0.11722726584977472,0.4689146903753881,1.0,-10.0
56,0.0,6.814600128335443,-1.5943099472763247e-05,0.0,0.02344573451876924,6.104824641991822,-8.640093614736157,2.3903420345744664,-6.551731142022766,0.717522117799375,-0.4367494871890891,0.0,0.0,-0.11722726584977472,0.4689146903753881,1.0,-10.0
67,0.3587610588996883,8.249644363934197,-1.5943099472763244e-05,0.0,0.0,3.6052200969533836,-9.716376791435223,2.7608259607335404,-5.116686906424011,0.0,-0.4367494871890875,0.0,0.0,-0.11722726584977582,0.46891469037538885,1.0,-10.0
68,0.3587610588996883,8.249644363934197,-1.5943099472763244e-05,0.0,0.023445734518767372,3.593497229693997,-9.716376791435223,2.749103093474153,-5.116686906424011,0.0,-0.4367494871890875,0.0,0.0,-0.11722726584977582,0.46891469037538885,1.0,-10.0
