,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_mal__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
15,0.0,0.0,0.0,-1.3665513833797033e-05,0.0,0.0,32.72599020353428,0.0,0.0,1.2368349606016171,-17.3337606703257,-2.480537999454049,6.474014518123988,-0.3743567033049268,0.0,1.8495683293724783,-0.10048051358552053,0.0,0.401926877464613,1.0,-10.0
26,0.0,0.0,0.0,-1.3665513833797016e-05,0.0,0.0,23.478148556671854,-1.8495683293724772,0.0,4.935971619346567,-13.634624011580721,-0.6309696700815709,4.624446188751506,-0.3743567033049276,0.0,0.0,-0.10048051358552208,0.0,0.4019268774646156,1.0,-10.0
37,0.0,0.0,0.0,-1.3665513833797038e-05,0.0,0.0,30.4188149275692,-3.7424773396171984,0.0,1.7811232689387073,-17.420442032070184,0.0,5.886385528914661,-0.37435670330493254,1.2619393401631451,0.0,-0.10048051358551885,0.0,0.40192687746461603,1.0,-10.0
53,0.0,10.347374733946484,0.786807232202205,-1.3665513833797014e-05,0.0,0.0,9.523081498557495,-13.614719965602744,0.0,3.4440856468019856,-4.385731634077704,0.0,0.0,-0.37435670330492987,0.0,5.72292854519498,-0.10048051358551836,0.0,0.40192687746461403,1.0,-10.0
54,0.0,0.0,0.7868072322022066,-1.3665513833797069e-05,0.0,0.0,25.04414359947733,-3.267345231656264,0.0,3.4440856468020016,-14.733106368024252,0.0,5.173687366973265,-0.37435670330493304,0.0,0.5492411782217373,-0.1004805135855191,0.0,0.401926877464615,1.0,-10.0
55,0.0,0.0,0.7868072322022084,-1.3665513833797069e-05,1.0984823564434782,0.0,28.33959066880777,-3.267345231656267,0.0,1.7963621121367812,-16.930071080911215,0.0,5.722928545195005,-0.37435670330493304,0.0,0.0,-0.10048051358551893,0.0,0.4019268774646145,1.0,-10.0
56,0.0,0.0,0.4206464467210456,-1.3665513833797016e-05,0.0,0.0,22.847178886590285,-2.9011844461750935,0.0,4.725648395986043,-13.634624011580721,0.0,4.624446188751506,-0.3743567033049276,0.0,0.0,-0.10048051358552208,0.0,0.4019268774646156,1.0,-10.0
57,0.0,0.0,1.3360484104239436,-1.3665513833797043e-05,0.0,0.0,26.691867134142505,-3.2673452316562606,0.0,2.8948444685802555,-15.831588724467707,0.0,5.722928545194992,-0.3743567033049334,0.0,0.0,-0.10048051358551972,0.0,0.4019268774646141,1.0,-10.0
66,0.0,0.0,0.4206464467210456,-1.3665513833797016e-05,0.0,8.68362060032731,18.505368586426627,-2.9011844461750935,0.0,0.3838380958223841,-13.634624011580721,0.0,4.624446188751506,-0.3743567033049276,0.0,0.0,-0.10048051358552208,0.0,0.4019268774646156,1.0,-10.0
89,0.0,0.0,0.0,-1.3665513833797016e-05,0.0,0.0,23.478148556671854,-2.480537999454048,0.0,3.6740322791834203,-13.634624011580721,0.0,4.624446188751506,-0.3743567033049276,0.0,0.0,-0.10048051358552208,1.2619393401631418,0.4019268774646156,1.0,-10.0
96,0.0,7.986953037339865,0.0,-1.3665513833797011e-05,0.0,0.0,8.342870650254186,-10.467491036793916,0.0,6.197910959509713,-4.385731634077707,0.0,0.0,-0.3743567033049283,0.0,3.3625068485883616,-0.10048051358552171,0.0,0.4019268774646157,1.0,-10.0
97,0.0,6.866117421143766,0.0,-1.3665513833797053e-05,0.0,0.0,6.661617225960024,-8.225819804401697,0.0,9.00000000000004,-4.38573163407772,0.0,0.0,-0.3743567033049313,0.0,0.0,-0.10048051358552174,0.0,0.4019268774646163,1.0,-10.0
98,0.0,1.261939340163141,0.0,-1.3665513833797014e-05,0.0,0.0,18.430391196019272,-3.7424773396171904,0.0,6.197910959509711,-11.110745331254432,0.0,3.362506848588361,-0.37435670330493204,0.0,0.0,-0.10048051358552058,0.0,0.40192687746461414,1.0,-10.0
101,0.0,0.0,0.0,-1.3665513833797052e-05,0.0,0.0,23.47814855667192,-3.1115076695356305,0.6309696700815706,4.305001949265005,-14.265593681662335,0.0,4.624446188751519,-0.3743567033049335,0.0,0.0,-0.10048051358551842,0.0,0.40192687746461736,1.0,-10.0
110,0.0,7.986953037339865,0.0,-1.3665513833797011e-05,0.0,9.104267047048356,3.7907371267300043,-10.467491036793916,0.0,1.64577743598553,-4.385731634077707,0.0,0.0,-0.3743567033049283,0.0,3.3625068485883616,-0.10048051358552171,0.0,0.4019268774646157,1.0,-10.0
120,0.0,6.866117421143766,0.0,-1.3665513833797053e-05,0.0,10.22510266324451,1.549065894337769,-8.225819804401697,0.0,3.887448668377782,-4.38573163407772,0.0,0.0,-0.3743567033049313,0.0,0.0,-0.10048051358552174,0.0,0.4019268774646163,1.0,-10.0
128,0.0,1.261939340163141,0.0,-1.3665513833797014e-05,0.0,9.104267047048362,13.878257672495092,-3.7424773396171904,0.0,1.6457774359855328,-11.110745331254432,0.0,3.362506848588361,-0.37435670330493204,0.0,0.0,-0.10048051358552058,0.0,0.40192687746461414,1.0,-10.0
135,0.0,0.0,0.0,-1.3665513833797016e-05,0.0,9.104267047048362,18.926015033147674,-1.8495683293724772,0.0,0.3838380958223841,-13.634624011580721,-0.6309696700815709,4.624446188751506,-0.3743567033049276,0.0,0.0,-0.10048051358552208,0.0,0.4019268774646156,1.0,-10.0
149,0.0,39.76939663875053,0.0,-1.366551383379704e-05,0.0,0.0,31.339076639165093,0.0,0.0,0.7741801955983394,-4.385731634077707,-24.67745941320507,0.0,-0.37435670330493065,0.0,0.0,-0.10048051358551309,0.0,0.4019268774646147,1.0,-10.0
162,0.0,0.0,0.0,-1.366551383379705e-05,0.0,0.0,28.49840545068293,0.0,0.0,3.6148513840805205,-15.74841638800645,-1.952089905347627,5.6813423769643645,-0.37435670330493215,0.0,0.0,-0.10048051358552086,0.0,0.40192687746461814,1.0,-10.0
175,1.2619393401631418,0.0,0.0,-1.3665513833797016e-05,0.0,0.0,22.847178886590285,-2.480537999454048,0.0,4.305001949264997,-13.634624011580721,0.0,4.624446188751506,-0.3743567033049276,0.0,0.0,-0.10048051358552208,0.0,0.4019268774646156,1.0,-10.0
181,1.2619393401631418,0.0,0.0,-1.3665513833797016e-05,0.0,7.842327706885214,18.926015033147674,-2.480537999454048,0.0,0.3838380958223841,-13.634624011580721,0.0,4.624446188751506,-0.3743567033049276,0.0,0.0,-0.10048051358552208,0.0,0.4019268774646156,1.0,-10.0
