,M_ac_e,M_co2_e,M_fe2_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_mal__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_fum_e
2,0.0,3.433058710571891,-6.832756916898541e-06,0.0,0.0,0.0,-4.112909902200858,0.0,2.830808612980023,-2.1928658170388644,0.0,0.0,-0.18717835165246638,0.0,0.0,-0.0502402567927603,0.0,0.20096343873230957,1.0,-5.830808612980032
5,0.0,3.43305871057189,-6.832756916898539e-06,0.0,0.11255133162223988,0.0,-4.112909902200857,0.0,2.718257281357782,-2.1928658170388626,0.0,0.0,-0.18717835165246638,0.0,0.0,-0.05024025679276099,0.0,0.20096343873230932,1.0,-5.774532947168913
10,0.0,8.99198055993185,-6.832756916898544e-06,0.0,0.0,0.0,-2.7231794398608686,0.0,5.610269537660004,-2.192865817038864,-4.169191387019969,0.0,-0.1871783516524672,0.0,0.0,-0.050240256792761305,0.0,0.2009634387323083,1.0,-10.0
14,0.0,8.991980559931875,-6.832756916898561e-06,0.0,0.0,0.0,-11.061562213900839,4.169191387019979,1.4410781506400387,-6.362057204058851,0.0,0.0,-0.1871783516524652,0.0,0.0,-0.050240256792760056,0.0,0.20096343873230968,1.0,-10.0
21,0.0,19.884698319375346,-6.832756916898547e-06,0.0,0.0,8.169538319582614,0.0,0.0,2.887090097799134,-2.1928658170388644,-12.338729706602587,0.0,-0.1871783516524656,0.0,0.0,-0.05024025679275828,0.0,0.20096343873230924,1.0,-10.0
33,0.0,11.883992816234091,-6.832756916898555e-06,0.0,4.338018384453336,0.0,-2.0001763757853164,0.0,2.7182572813577885,-2.192865817038867,-6.338200579246646,0.0,-0.187178351652466,0.0,0.0,-0.0502402567927608,0.0,0.2009634387323098,1.0,-10.0
39,0.0,3.4330587105718946,-6.832756916898549e-06,0.0,0.0,-4.169191387019972,-4.112909902200862,0.0,6.999999999999998,-2.192865817038867,0.0,0.0,-0.18717835165246655,0.0,0.0,-0.05024025679276071,0.0,0.20096343873230893,1.0,-10.0
68,0.0,7.550998517749054,-6.832756916898547e-06,0.0,0.0,0.0,-6.325634545317881,0.0,2.7283054532943996,-2.192865817038865,-2.0077183237457654,0.0,-0.18717835165246716,0.0,4.32294612654841,-0.050240256792760875,0.0,0.20096343873230987,1.0,-10.0
69,0.0,7.556022603717363,-6.8327569168985495e-06,0.0,0.010048171936613903,0.0,-6.328146588302037,0.0,2.718257281357785,-2.1928658170388675,-2.0102303667299215,0.0,-0.18717835165246519,0.0,4.3279702125167185,-0.050240256792758925,0.0,0.20096343873230996,1.0,-10.0
70,0.0,3.5355618702575193,-6.832756916898548e-06,0.0,0.0,0.0,-4.317916221572114,0.0,2.7283054532944004,-2.1928658170388666,0.0,0.0,-0.18717835165246696,0.0,0.3075094790568751,-0.05024025679276041,0.0,0.20096343873231004,1.0,-5.984563352508466
71,0.0,3.5355618702575176,-6.832756916898547e-06,0.0,0.010048171936614442,0.0,-4.317916221572112,0.0,2.7182572813577854,-2.192865817038865,0.0,0.0,-0.18717835165246705,0.0,0.3075094790568764,-0.050240256792759584,0.0,0.20096343873230924,1.0,-5.97953926654016
72,0.0,7.550998517749062,-6.832756916898557e-06,0.0,0.0,0.0,-10.341071192809428,2.0077183237457676,0.7205871295486341,-4.200584140784639,0.0,0.0,-0.1871783516524651,0.0,4.3229461265484135,-0.050240256792760465,0.0,0.20096343873230907,1.0,-10.0
73,0.0,7.556022603717366,-6.832756916898553e-06,0.0,0.010048171936614085,0.0,-10.348607321761884,2.0102303667299215,0.7080269146278656,-4.203096183768792,0.0,0.0,-0.18717835165246688,0.0,4.327970212516719,-0.050240256792759536,0.0,0.2009634387323092,1.0,-10.0
74,0.0,3.5355618702575207,-6.83275691689855e-06,0.0,0.0,-4.015436647491535,-4.317916221572116,0.0,6.743742100785938,-2.192865817038867,0.0,0.0,-0.18717835165246727,0.0,0.3075094790568757,-0.05024025679275925,0.0,0.20096343873230924,1.0,-10.0
75,0.0,3.5355618702575176,-6.8327569168985444e-06,0.0,0.010048171936615195,-4.020460733459839,-4.317916221572111,0.0,6.738718014817623,-2.192865817038865,0.0,0.0,-0.1871783516524667,0.0,0.30750947905687576,-0.050240256792759626,0.0,0.2009634387323084,1.0,-10.0
93,0.0,7.550998517749054,-6.832756916898547e-06,0.0,0.0,0.0,-7.766616587500684,0.0,4.169287495477203,-3.6338478592216683,-0.566736281562962,0.0,-0.18717835165246716,1.4409820421828035,0.0,-0.050240256792760875,0.0,0.20096343873230987,1.0,-10.0
94,0.0,7.556022603717363,-6.8327569168985495e-06,0.0,0.010048171936613903,0.0,-7.770803325807609,0.0,4.16091401886336,-3.635522554544439,-0.567573629224347,0.0,-0.18717835165246519,1.4426567375055719,0.0,-0.050240256792758925,0.0,0.20096343873230996,1.0,-10.0
95,0.0,4.150580828371274,-6.832756916898549e-06,0.0,0.0,0.0,-4.932935179685867,0.0,3.0358149323512773,-2.5003752960957435,0.0,0.0,-0.18717835165246577,0.3075094790568768,0.0,-0.05024025679276066,0.0,0.20096343873231015,1.0,-6.599582310622221
96,0.0,4.150580828371269,-6.83275691689854e-06,0.0,0.010048171936615313,0.0,-4.932935179685861,0.0,3.0257667604146583,-2.5003752960957395,0.0,0.0,-0.18717835165246682,0.3075094790568756,0.0,-0.050240256792760216,0.0,0.2009634387323082,1.0,-6.594558224653915
97,0.0,7.550998517749054,-6.832756916898547e-06,0.0,0.0,0.0,-8.333352869063647,0.0,3.0358149323512764,-3.6338478592216683,0.0,0.0,-0.18717835165246716,1.4409820421828035,0.0,-0.050240256792760875,1.1334725631259264,0.20096343873230987,1.0,-10.0
98,0.0,7.556022603717363,-6.8327569168985495e-06,0.0,0.010048171936613903,0.0,-8.338376955031958,0.0,3.0257667604146636,-3.635522554544439,0.0,0.0,-0.18717835165246519,1.4426567375055719,0.0,-0.050240256792758925,1.135147258448694,0.20096343873230996,1.0,-10.0
99,0.0,7.55099851774905,-6.832756916898544e-06,0.0,0.0,0.0,-8.900089150626608,0.5667362815629623,3.6025512139142375,-4.200584140784631,0.0,0.0,-0.1871783516524648,1.440982042182801,0.0,-0.05024025679275941,0.0,0.20096343873230849,1.0,-10.0
100,0.0,7.5560226037173575,-6.832756916898544e-06,0.0,0.010048171936612912,0.0,-8.905950584256297,0.5675736292243461,3.5933403896390086,-4.203096183768783,0.0,0.0,-0.18717835165246624,1.442656737505571,0.0,-0.05024025679275976,0.0,0.2009634387323081,1.0,-10.0
101,0.0,4.150580828371273,-6.8327569168985444e-06,0.0,0.0,-3.400417689377779,-4.932935179685866,0.0,6.436232621729054,-2.5003752960957413,0.0,0.0,-0.1871783516524669,0.30750947905687454,0.0,-0.05024025679276103,0.0,0.20096343873230835,1.0,-10.0
102,0.0,4.150580828371276,-6.832756916898554e-06,0.0,0.010048171936614845,-3.40544177534609,-4.932935179685872,0.0,6.431208535760757,-2.500375296095745,0.0,0.0,-0.18717835165246635,0.30750947905687503,0.0,-0.050240256792761284,0.0,0.20096343873230846,1.0,-10.0
127,0.0,7.550998517749048,-6.832756916898544e-06,1.4409820421828015,0.0,0.0,-4.884652503135073,0.0,4.1692874954772,-3.6338478592216674,-2.007718323745764,0.0,-0.1871783516524672,0.0,0.0,-0.050240256792761305,0.0,0.2009634387323083,1.0,-10.0
128,0.0,7.556022603717368,-6.832756916898555e-06,1.4426567375055719,0.01004817193661393,0.0,-4.885489850796467,0.0,4.160914018863362,-3.635522554544442,-2.0102303667299215,0.0,-0.18717835165246727,0.0,0.0,-0.050240256792761215,0.0,0.20096343873230876,1.0,-10.0
129,0.0,3.535561870257516,-6.83275691689854e-06,0.10250315968562444,0.0,0.0,-4.215413061886484,0.0,2.830808612980023,-2.295368976724489,0.0,0.0,-0.18717835165246588,0.0,0.0,-0.050240256792760535,0.0,0.20096343873230887,1.0,-5.984563352508471
130,0.0,3.535561870257517,-6.832756916898543e-06,0.10250315968562407,0.010048171936615193,0.0,-4.215413061886484,0.0,2.8207604410434093,-2.295368976724491,0.0,0.0,-0.18717835165246619,0.0,0.0,-0.05024025679275954,0.0,0.2009634387323094,1.0,-5.9795392665401605
131,0.0,7.550998517749048,-6.832756916898544e-06,1.4409820421828015,0.0,0.0,-6.892370826880837,0.0,0.15385084798566948,-3.6338478592216674,0.0,0.0,-0.1871783516524672,0.0,0.0,-0.050240256792761305,4.015436647491531,0.2009634387323083,1.0,-10.0
132,0.0,7.556022603717368,-6.832756916898555e-06,1.4426567375055719,0.01004817193661393,0.0,-6.8957202175263905,0.0,0.14045328540351518,-3.635522554544442,0.0,0.0,-0.18717835165246727,0.0,0.0,-0.050240256792761215,4.020460733459845,0.20096343873230876,1.0,-10.0
133,0.0,7.550998517749053,-6.832756916898546e-06,1.440982042182803,0.0,0.0,-8.90008915062661,2.007718323745764,2.161569171731436,-5.641566182967436,0.0,0.0,-0.1871783516524661,0.0,0.0,-0.05024025679275873,0.0,0.20096343873230943,1.0,-10.0
134,0.0,7.556022603717369,-6.8327569168985554e-06,1.4426567375055739,0.010048171936613719,0.0,-8.905950584256313,2.010230366729923,2.150683652133439,-5.645752921274365,0.0,0.0,-0.18717835165246588,0.0,0.0,-0.05024025679275999,0.0,0.2009634387323094,1.0,-10.0
135,0.0,3.5355618702575216,-6.832756916898552e-06,0.10250315968562386,0.0,-4.015436647491535,-4.21541306188649,0.0,6.846245260471564,-2.2953689767244936,0.0,0.0,-0.18717835165246655,0.0,0.0,-0.050240256792761354,0.0,0.20096343873230965,1.0,-10.0
136,0.0,3.5355618702575144,-6.832756916898541e-06,0.10250315968562497,0.010048171936614322,-4.020460733459836,-4.2154130618864825,0.0,6.841221174503247,-2.2953689767244896,0.0,0.0,-0.18717835165246682,0.0,0.0,-0.050240256792759376,0.0,0.2009634387323089,1.0,-10.0
163,4.322946126548416,11.873944644297485,-6.832756916898559e-06,0.0,0.0,0.0,-4.164161482043683,0.0,2.7283054532944044,-2.1928658170388684,-4.169191387019979,0.0,-0.187178351652465,0.0,0.0,-0.05024025679275906,0.0,0.20096343873230968,1.0,-10.0
164,4.327970212516722,11.883992816234091,-6.832756916898555e-06,0.0,0.010048171936613635,0.0,-4.164161482043679,0.0,2.7182572813577885,-2.192865817038867,-4.1742154729882825,0.0,-0.187178351652466,0.0,0.0,-0.0502402567927608,0.0,0.2009634387323098,1.0,-10.0
172,0.0,3.4330587105718897,-6.832756916898541e-06,0.0,0.11255133162223929,-4.225467052831088,-4.112909902200858,0.0,6.943724334188872,-2.1928658170388644,0.0,0.0,-0.18717835165246682,0.0,0.0,-0.050240256792759376,0.0,0.2009634387323089,1.0,-10.0
177,0.15375473952843674,3.5355618702575207,-6.83275691689855e-06,0.0,0.0,-4.169191387019975,-4.164161482043677,0.0,6.897496840314378,-2.192865817038867,0.0,0.0,-0.18717835165246727,0.0,0.0,-0.05024025679275925,0.0,0.20096343873230924,1.0,-10.0
178,0.15375473952843788,3.5355618702575176,-6.8327569168985444e-06,0.0,0.010048171936615195,-4.174215472988276,-4.164161482043673,0.0,6.8924727543460635,-2.192865817038865,0.0,0.0,-0.1871783516524667,0.0,0.0,-0.050240256792759626,0.0,0.2009634387323084,1.0,-10.0
193,0.0,0.0,-6.832756916898552e-06,0.0,0.010048171936614128,8.584239352285861,-0.7823543513145937,0.0,0.8976321905300952,-8.648970599440158,0.0,3.2280523912006456,-0.18717835165246696,0.0,0.0,-0.050240256792758814,2.920542912143766,0.20096343873230907,1.0,-10.0
194,0.0,0.0,-6.832756916898552e-06,0.0,0.0,8.589263438254168,-0.7823543513145937,0.0,0.9026562764984022,-8.648970599440158,0.0,3.2280523912006456,-0.18717835165246696,0.0,0.0,-0.050240256792758814,2.920542912143766,0.20096343873230907,1.0,-10.0
195,0.0,0.0,-6.832756916898547e-06,0.0,0.010048171936613096,8.584239352285852,-2.242625807386476,1.4602714560718817,2.357903646601975,-10.109242055512036,0.0,3.228052391200642,-0.18717835165246724,0.0,0.0,-0.05024025679276123,0.0,0.200963438732309,1.0,-10.0
196,0.0,0.0,-6.832756916898547e-06,0.0,0.0,8.58926343825416,-2.242625807386476,1.4602714560718817,2.362927732570283,-10.109242055512036,0.0,3.228052391200642,-0.18717835165246724,0.0,0.0,-0.05024025679276123,0.0,0.200963438732309,1.0,-10.0
197,0.0,2.147315859563538,-6.8327569168985444e-06,0.0,0.0,0.0,-2.5430566845880205,0.0,5.970515048205707,-4.35433888031307,-0.38661352629011114,1.0807365316371014,-0.18717835165246632,0.0,0.0,-0.05024025679276001,0.0,0.2009634387323094,1.0,-10.0
198,0.0,2.1460598380714644,-6.83275691689855e-06,0.0,0.010048171936615042,0.0,-2.5411726523499065,0.0,5.964234940745327,-4.356850923297229,-0.3872415370361508,1.0819925531291792,-0.18717835165246624,0.0,0.0,-0.05024025679276005,0.0,0.2009634387323098,1.0,-10.0
199,0.0,2.920542912143764,-6.8327569168985444e-06,0.0,0.0,0.0,-3.702897263458359,0.0,3.65083389046503,-2.807884775152618,0.0,0.3075094790568755,-0.18717835165246632,0.0,0.0,-0.05024025679276001,0.0,0.2009634387323094,1.0,-6.907091789679098
