,M_ac_e,M_co2_e,M_fe2_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_mal__45__L_e,M_nh4_e,M_orot_e,M_pi_e,M_pyr_e,M_so4_e,objective,virtual_tag_R_constraint_reaction,M_fum_e
0,0.0,10.299176131715672,-2.0498270750695616e-05,0.0,0.0,7.492425838940078,-12.338729706602575,0.9999999999999919,-6.578597451116593,0.0,-0.561535054957399,0.0,-0.1507207703782814,0.6028903161969296,1.0,-10.0
16,0.0,10.606685610772555,-2.0498270750695632e-05,0.0,0.0,7.9536900575254,-12.953748664716338,0.2312263023577993,-6.5785974511165985,0.0,-0.5615350549574003,0.922528437170629,-0.15072077037828085,0.6028903161969303,1.0,-10.0
17,0.0,10.606685610772555,-2.0498270750695632e-05,0.0,0.030144515809845476,7.938617799620477,-12.953748664716338,0.2161540444528766,-6.5785974511165985,0.0,-0.5615350549574003,0.922528437170629,-0.15072077037828085,0.6028903161969303,1.0,-10.0
22,0.0,10.299176131715672,-2.0498270750695616e-05,0.0,0.33765399486672,7.323598841506716,-12.338729706602575,0.83117300256663,-6.578597451116593,0.0,-0.561535054957399,0.0,-0.1507207703782814,0.6028903161969296,1.0,-10.0
37,0.0,10.606685610772532,-2.0498270750695585e-05,0.30750947905687587,0.030144515809844803,7.938617799620455,-12.64623918565943,0.5236635235097534,-6.886106930173459,0.0,-0.5615350549573989,0.0,-0.1507207703782797,0.602890316196929,1.0,-10.0
38,0.0,10.606685610772532,-2.0498270750695585e-05,0.30750947905687587,0.0,7.953690057525382,-12.64623918565943,0.5387357814146758,-6.886106930173459,0.0,-0.5615350549573989,0.0,-0.1507207703782797,0.602890316196929,1.0,-10.0
51,0.0,8.761628736431284,-2.049827075069561e-05,0.0,0.0,10.721275369037278,-11.108691790375062,0.2312263023577996,-8.423654325457848,0.9225284371706269,-0.5615350549573973,0.0,-0.1507207703782812,0.6028903161969291,1.0,-10.0
52,0.0,8.761628736431284,-2.049827075069561e-05,0.0,0.030144515809842426,10.706203111132352,-11.108691790375062,0.21615404445287623,-8.423654325457848,0.9225284371706269,-0.5615350549573973,0.0,-0.1507207703782812,0.6028903161969291,1.0,-10.0
65,0.46126421858531225,10.60668561077253,-2.0498270750695585e-05,0.0,0.0,7.492425838940064,-12.492484446130991,0.6924905209431144,-6.57859745111658,0.0,-0.5615350549573995,0.0,-0.1507207703782811,0.6028903161969279,1.0,-10.0
66,0.46126421858531225,10.60668561077253,-2.0498270750695585e-05,0.0,0.030144515809845784,7.4773535810351435,-12.492484446130991,0.6774182630381895,-6.57859745111658,0.0,-0.5615350549573995,0.0,-0.1507207703782811,0.6028903161969279,1.0,-10.0
