,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_fum_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_mal__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
1,0.0,7.095464679346384,0.0,-9.498201955916062e-06,0.0,0.0,0.0,5.594513284027543,-8.372406843523407,0.0,9.004352921839166,-4.043945538910753,0.0,0.0,-0.26019625861029366,0.9956470781608601,0.0,-0.0698388821874449,0.0,0.2793588810563511,1.0,-10.0
6,0.0,0.0,1.2106388379508732,-9.498201955916039e-06,0.0,0.0,0.0,22.385775466793778,-2.8350044986585523,0.0,4.330165918394527,-13.823927216510073,0.0,5.105794674154721,-0.26019625861029294,0.5640394074507474,0.0,-0.06983888218744282,0.0,0.27935888105635226,1.0,-10.0
7,0.0,0.0,0.5468695932493417,-9.498201955916044e-06,0.0,0.0,0.0,20.394467732689197,-2.8350044986585576,0.0,4.993935163096064,-12.496388727107018,0.0,4.4420254294531905,-0.26019625861028955,0.5640394074507457,0.6637692447015281,-0.06983888218744311,0.0,0.2793588810563527,1.0,-10.0
14,0.0,0.0,0.0,-9.498201955916084e-06,0.0,0.39033444807685896,0.0,23.91149142479847,-2.991539643831056,0.0,3.8605604828770863,-14.450067797200097,0.0,4.871995371250372,-0.26019625861029266,1.2674441458725862,0.0,-0.06983888218744186,0.0,0.2793588810563518,1.0,-10.0
15,0.0,0.0,0.0,-9.498201955916057e-06,0.0,0.0,0.0,20.398481392106667,-2.6012051957541886,0.0,3.4702260348002176,-12.108061108738902,0.0,4.091326475096641,-0.2601962586102928,0.8771096977957216,0.0,-0.0698388821874419,0.0,0.27935888105635337,1.0,-8.438662207692563
16,0.0,0.0,0.0,-9.49820195591608e-06,0.0,0.0,0.0,29.24606221518222,-3.6420970572924882,0.0,1.908888242492784,-17.052297451045828,0.0,5.9128872327886635,-0.26019625861029416,2.1782245247185954,0.0,-0.06983888218744419,0.0,0.2793588810563537,1.0,-10.0
17,0.0,0.0,0.0,-9.49820195591609e-06,0.0,0.0,0.0,25.863163665182785,-3.38187409190792,0.0,3.079891586723368,-15.23073669335383,0.0,5.262329819327236,-0.2601962586102897,1.6577785939494472,0.39033444807686063,-0.0698388821874451,0.0,0.27935888105635254,1.0,-10.0
18,0.0,0.0,0.0,-9.498201955916057e-06,0.0,0.0,1.561337792307438,18.837143599799226,-2.6012051957541886,0.0,5.0315638271076555,-12.108061108738902,0.0,4.091326475096641,-0.2601962586102928,0.8771096977957216,0.0,-0.0698388821874419,0.0,0.27935888105635337,1.0,-10.0
32,0.0,0.0,0.0,-9.498201955916057e-06,0.0,0.0,8.50031199383052,15.367656499037682,-2.6012051957541886,0.0,1.5620767263461122,-12.108061108738902,0.0,4.091326475096641,-0.2601962586102928,0.8771096977957216,0.0,-0.0698388821874419,0.0,0.27935888105635337,1.0,-10.0
36,0.0,5.8623951448824645,0.0,-9.498201955916064e-06,0.0,0.0,9.273731262267471,0.0,-7.690181072199715,0.0,3.8823345316569373,-3.151988890108679,0.0,0.0,-0.2601962586102918,0.10369042935878373,2.544487938222759,-0.06983888218744397,0.0,0.2793588810563532,1.0,-10.0
