,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_mal__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
13,0.0,0.0,0.0,-1.5830336593193495e-05,0.0,27.989515263460902,-2.1425677484343453,0.0,3.3416782795844457,-15.794553358919611,-0.7309247481631069,5.357027962168212,-0.4336604310171577,0.0,-0.11639813697907249,0.0,0.4655981350939244,1.0,-10.0
37,0.0,11.98655439425696,0.9114493220822487,-1.5830336593193492e-05,0.0,11.823755863753403,-15.77149621293666,0.0,1.6134551486227904,-5.080497434583173,0.0,0.0,-0.43366043101715523,6.629526432088746,-0.11639813697907553,0.0,0.46559813509392456,1.0,-10.0
38,0.0,0.0,0.9114493220822452,-1.583033659319348e-05,0.0,29.803587455138825,-3.7849418186796964,0.0,1.6134551486227862,-17.067051828840118,0.0,5.9932771971284735,-0.4336604310171521,0.6362492349602634,-0.11639813697907112,0.0,0.46559813509392456,1.0,-10.0
39,0.0,0.0,0.4872831654420675,-1.5830336593193495e-05,0.0,27.258590515297794,-3.3607756620395253,0.0,3.098036696863412,-15.794553358919611,0.0,5.357027962168212,-0.4336604310171577,0.0,-0.11639813697907249,0.0,0.4655981350939244,1.0,-10.0
40,0.0,0.0,1.5476985570425081,-1.5830336593193444e-05,0.0,31.712335160019553,-3.784941818679688,0.0,0.977205913662524,-18.33955029876061,0.0,6.629526432088726,-0.43366043101715496,0.0,-0.11639813697907248,0.0,0.46559813509392234,1.0,-10.0
60,0.0,0.0,0.0,-1.5830336593193495e-05,0.0,27.989515263460902,-2.873492496597452,0.0,1.8798287832582317,-15.794553358919611,0.0,5.357027962168212,-0.4336604310171577,0.0,-0.11639813697907249,1.4618494963262139,0.4655981350939244,1.0,-10.0
68,0.0,9.252206428010195,0.0,-1.5830336593193465e-05,0.0,10.456581880630013,-12.125698924607642,0.0,4.803527775910653,-5.080497434583167,0.0,0.0,-0.43366043101715546,3.8951784658419912,-0.11639813697907454,0.0,0.46559813509392306,1.0,-10.0
69,0.0,7.953813606062856,0.0,-1.5830336593193444e-05,0.0,8.50899264770901,-9.528913280712974,0.0,8.049509830778973,-5.080497434583161,0.0,0.0,-0.4336604310171569,0.0,-0.11639813697907278,0.0,0.4655981350939225,1.0,-10.0
70,0.0,1.4618494963262052,0.0,-1.5830336593193424e-05,0.0,22.14211727815594,-4.335341992923643,0.0,4.803527775910641,-12.87085436626712,0.0,3.8951784658419797,-0.4336604310171516,0.0,-0.11639813697907218,0.0,0.4655981350939217,1.0,-10.0
73,0.0,0.0,0.0,-1.5830336593193428e-05,0.0,27.989515263460767,-3.6044172447605436,0.730924748163099,2.610753531421329,-16.52547810708264,0.0,5.357027962168192,-0.4336604310171553,0.0,-0.11639813697906994,0.0,0.4655981350939233,1.0,-10.0
83,0.0,9.252206428010195,0.0,-1.5830336593193465e-05,8.96236948604374,5.975397137608144,-12.125698924607642,0.0,0.32234303288878363,-5.080497434583167,0.0,0.0,-0.43366043101715546,3.8951784658419912,-0.11639813697907454,0.0,0.46559813509392306,1.0,-10.0
93,0.0,7.953813606062856,0.0,-1.5830336593193444e-05,10.260762307991058,3.3786114937134766,-9.528913280712974,0.0,2.919128676783444,-5.080497434583161,0.0,0.0,-0.4336604310171569,0.0,-0.11639813697907278,0.0,0.4655981350939225,1.0,-10.0
103,0.0,1.4618494963262052,0.0,-1.5830336593193424e-05,8.962369486043718,17.660932535134076,-4.335341992923643,0.0,0.3223430328887809,-12.87085436626712,0.0,3.8951784658419797,-0.4336604310171516,0.0,-0.11639813697907218,0.0,0.4655981350939217,1.0,-10.0
117,0.0,0.0,0.0,-1.58303365931935e-05,0.0,33.80505629492556,0.0,0.0,1.8112727449884836,-18.243202214273147,-2.261330282759069,6.5813523898449855,-0.43366043101715407,0.0,-0.11639813697907159,0.0,0.4655981350939204,1.0,-10.0
131,1.4618494963262139,0.0,0.0,-1.5830336593193495e-05,0.0,27.258590515297794,-2.873492496597452,0.0,2.610753531421339,-15.794553358919611,0.0,5.357027962168212,-0.4336604310171577,0.0,-0.11639813697907249,0.0,0.4655981350939244,1.0,-10.0
